Portefeuille;Programme;Nom_programme;Element;Nom_element;Repartition;Supercategorie;Type_de_credits;Montant
Assemblée nationale;01;Secrétariat général et affaires juridiques et parlementaires;01;Secrétariat général et affaires juridiques;Dépenses;Rémunération;Permanents;3 368 000
Assemblée nationale;01;Secrétariat général et affaires juridiques et parlementaires;01;Secrétariat général et affaires juridiques;Dépenses;Fonctionnement;Permanents;560 000
Assemblée nationale;01;Secrétariat général et affaires juridiques et parlementaires;02;Affaires parlementaires;Dépenses;Rémunération;Permanents;8 280 000
Assemblée nationale;01;Secrétariat général et affaires juridiques et parlementaires;02;Affaires parlementaires;Dépenses;Fonctionnement;Permanents;2 277 000
Assemblée nationale;01;Secrétariat général et affaires juridiques et parlementaires;02;Affaires parlementaires;Investissements;Prêts, placements, avances et autres coûts;Permanents;5 000
Assemblée nationale;02;Secrétariat général adjoint à l'administration, affaires institutionnelles et Bibliothèque de l'Assemblée nationale;01;Affaires institutionnelles et de la Bibliothèque de l'Assemblée nationale;Dépenses;Rémunération;Permanents;19 953 000
Assemblée nationale;02;Secrétariat général adjoint à l'administration, affaires institutionnelles et Bibliothèque de l'Assemblée nationale;01;Affaires institutionnelles et de la Bibliothèque de l'Assemblée nationale;Dépenses;Fonctionnement;Permanents;4 389 000
Assemblée nationale;02;Secrétariat général adjoint à l'administration, affaires institutionnelles et Bibliothèque de l'Assemblée nationale;01;Affaires institutionnelles et de la Bibliothèque de l'Assemblée nationale;Investissements;Prêts, placements, avances et autres coûts;Permanents;3 000
Assemblée nationale;02;Secrétariat général adjoint à l'administration, affaires institutionnelles et Bibliothèque de l'Assemblée nationale;01;Affaires institutionnelles et de la Bibliothèque de l'Assemblée nationale;Investissements;Immobilisations autres qu'en ressources informationnelles;Permanents;511 000
Assemblée nationale;02;Secrétariat général adjoint à l'administration, affaires institutionnelles et Bibliothèque de l'Assemblée nationale;01;Affaires institutionnelles et de la Bibliothèque de l'Assemblée nationale;Investissements;Immobilisations en ressources informationnelles;Permanents;3 000
Assemblée nationale;02;Secrétariat général adjoint à l'administration, affaires institutionnelles et Bibliothèque de l'Assemblée nationale;02;Affaires administratives et sécurité;Dépenses;Rémunération;Permanents;36 973 000
Assemblée nationale;02;Secrétariat général adjoint à l'administration, affaires institutionnelles et Bibliothèque de l'Assemblée nationale;02;Affaires administratives et sécurité;Dépenses;Fonctionnement;Permanents;15 200 000
Assemblée nationale;02;Secrétariat général adjoint à l'administration, affaires institutionnelles et Bibliothèque de l'Assemblée nationale;02;Affaires administratives et sécurité;Investissements;Immobilisations autres qu'en ressources informationnelles;Permanents;8 222 000
Assemblée nationale;02;Secrétariat général adjoint à l'administration, affaires institutionnelles et Bibliothèque de l'Assemblée nationale;02;Affaires administratives et sécurité;Investissements;Immobilisations en ressources informationnelles;Permanents;7 426 000
Assemblée nationale;02;Secrétariat général adjoint à l'administration, affaires institutionnelles et Bibliothèque de l'Assemblée nationale;02;Affaires administratives et sécurité;Dépenses;;Ne nécessitant pas de crédits;8 151 000
Assemblée nationale;03;Services statutaires aux parlementaires;01;Indemnités et allocations aux parlementaires;Dépenses;Rémunération;Permanents;24 153 000
Assemblée nationale;03;Services statutaires aux parlementaires;01;Indemnités et allocations aux parlementaires;Dépenses;Fonctionnement;Permanents;15 848 000
Assemblée nationale;03;Services statutaires aux parlementaires;01;Indemnités et allocations aux parlementaires;Investissements;Prêts, placements, avances et autres coûts;Permanents;6 000
Assemblée nationale;03;Services statutaires aux parlementaires;02;Dépenses du personnel des cabinets et des députés;Dépenses;Rémunération;Permanents;34 166 000
Assemblée nationale;03;Services statutaires aux parlementaires;02;Dépenses du personnel des cabinets et des députés;Dépenses;Fonctionnement;Permanents;2 804 000
Assemblée nationale;03;Services statutaires aux parlementaires;02;Dépenses du personnel des cabinets et des députés;Dépenses;Transferts;Permanents;31 000
Assemblée nationale;03;Services statutaires aux parlementaires;03;Services de recherche des partis politiques;Dépenses;Rémunération;Permanents;2 523 000
Assemblée nationale;03;Services statutaires aux parlementaires;03;Services de recherche des partis politiques;Dépenses;Fonctionnement;Permanents;214 000
Assemblée nationale;03;Services statutaires aux parlementaires;04;Régime de retraite des membres de l'Assemblée nationale;Dépenses;Rémunération;Permanents;11 155 000
Personnes désignées par l'Assemblée nationale;01;Le Protecteur du citoyen;01;Le Protecteur du citoyen;Dépenses;Rémunération;Annuels;23 148 000
Personnes désignées par l'Assemblée nationale;01;Le Protecteur du citoyen;01;Le Protecteur du citoyen;Dépenses;Rémunération;Permanents;505 000
Personnes désignées par l'Assemblée nationale;01;Le Protecteur du citoyen;01;Le Protecteur du citoyen;Dépenses;Fonctionnement;Annuels;3 801 000
Personnes désignées par l'Assemblée nationale;01;Le Protecteur du citoyen;01;Le Protecteur du citoyen;Investissements;Immobilisations autres qu'en ressources informationnelles;Annuels;75 000
Personnes désignées par l'Assemblée nationale;01;Le Protecteur du citoyen;01;Le Protecteur du citoyen;Investissements;Immobilisations en ressources informationnelles;Annuels;523 000
Personnes désignées par l'Assemblée nationale;01;Le Protecteur du citoyen;01;Le Protecteur du citoyen;Dépenses;;Ne nécessitant pas de crédits;196 000
Personnes désignées par l'Assemblée nationale;02;Le Vérificateur général;01;Le Vérificateur général;Dépenses;Rémunération;Annuels;38 727 000
Personnes désignées par l'Assemblée nationale;02;Le Vérificateur général;01;Le Vérificateur général;Dépenses;Fonctionnement;Annuels;7 015 000
Personnes désignées par l'Assemblée nationale;02;Le Vérificateur général;01;Le Vérificateur général;Investissements;Prêts, placements, avances et autres coûts;Annuels;167 000
Personnes désignées par l'Assemblée nationale;02;Le Vérificateur général;01;Le Vérificateur général;Investissements;Immobilisations autres qu'en ressources informationnelles;Annuels;15 000
Personnes désignées par l'Assemblée nationale;02;Le Vérificateur général;01;Le Vérificateur général;Investissements;Immobilisations en ressources informationnelles;Annuels;663 000
Personnes désignées par l'Assemblée nationale;02;Le Vérificateur général;01;Le Vérificateur général;Dépenses;;Ne nécessitant pas de crédits;894 000
Personnes désignées par l'Assemblée nationale;03;Administration du système électoral;01;Gestion interne et soutien;Dépenses;Rémunération;Permanents;33 544 000
Personnes désignées par l'Assemblée nationale;03;Administration du système électoral;01;Gestion interne et soutien;Dépenses;Fonctionnement;Permanents;11 585 000
Personnes désignées par l'Assemblée nationale;03;Administration du système électoral;01;Gestion interne et soutien;Investissements;Immobilisations autres qu'en ressources informationnelles;Permanents;23 000
Personnes désignées par l'Assemblée nationale;03;Administration du système électoral;01;Gestion interne et soutien;Investissements;Immobilisations en ressources informationnelles;Permanents;1 357 000
Personnes désignées par l'Assemblée nationale;03;Administration du système électoral;01;Gestion interne et soutien;Dépenses;;Ne nécessitant pas de crédits;1 325 000
Personnes désignées par l'Assemblée nationale;03;Administration du système électoral;02;Commission de la représentation électorale;Dépenses;Rémunération;Permanents;18 000
Personnes désignées par l'Assemblée nationale;03;Administration du système électoral;02;Commission de la représentation électorale;Dépenses;Fonctionnement;Permanents;50 000
