Nom_portefeuille;Fonds_speciaux;REGRP_Sommaire;REGRP_Nom;Montant
Affaires municipales et Habitation;Fonds régions et ruralité;Revenus;Transferts provenant du ministère responsable;277 500 000
Affaires municipales et Habitation;Fonds régions et ruralité;Revenus;Revenus divers;1 582 000
Affaires municipales et Habitation;Fonds régions et ruralité;Dépenses;Transferts;278 427 000
Affaires municipales et Habitation;Fonds régions et ruralité;Dépenses;Excédent à approuver;0
Affaires municipales et Habitation;Fonds régions et ruralité;Surplus (déficit);Surplus (déficit) de l'exercice lié aux activités;655 000
Affaires municipales et Habitation;Fonds régions et ruralité;Surplus (déficit);Surplus (déficit) cumulé lié aux activités, au début;109 574 000
Affaires municipales et Habitation;Fonds régions et ruralité;Surplus (déficit);Surplus (déficit) cumulé lié aux activités, à la fin;110 229 000
Affaires municipales et Habitation;Fonds régions et ruralité;Investissements;Excédent à approuver;0
Conseil du trésor et Administration gouvernementale;Fonds de la région de la Capitale-Nationale;Revenus;Transferts provenant du ministère responsable;29 500 000
Conseil du trésor et Administration gouvernementale;Fonds de la région de la Capitale-Nationale;Dépenses;Transferts;28 133 000
Conseil du trésor et Administration gouvernementale;Fonds de la région de la Capitale-Nationale;Dépenses;Excédent à approuver;0
Conseil du trésor et Administration gouvernementale;Fonds de la région de la Capitale-Nationale;Surplus (déficit);Surplus (déficit) de l'exercice lié aux activités;1 367 000
Conseil du trésor et Administration gouvernementale;Fonds de la région de la Capitale-Nationale;Surplus (déficit);Surplus (déficit) cumulé lié aux activités, au début;0
Conseil du trésor et Administration gouvernementale;Fonds de la région de la Capitale-Nationale;Surplus (déficit);Surplus (déficit) cumulé lié aux activités, à la fin;1 367 000
Conseil du trésor et Administration gouvernementale;Fonds de la région de la Capitale-Nationale;Investissements;Excédent à approuver;0
Culture et Communications;Fonds Avenir Mécénat Culture;Revenus;Taxes à la consommation;5 000 000
Culture et Communications;Fonds Avenir Mécénat Culture;Revenus;Revenus divers;307 000
Culture et Communications;Fonds Avenir Mécénat Culture;Dépenses;Transferts;5 378 000
Culture et Communications;Fonds Avenir Mécénat Culture;Dépenses;Excédent à approuver;372 000
Culture et Communications;Fonds Avenir Mécénat Culture;Surplus (déficit);Surplus (déficit) de l'exercice lié aux activités;-71 000
Culture et Communications;Fonds Avenir Mécénat Culture;Surplus (déficit);Surplus (déficit) cumulé lié aux activités, au début;531 000
Culture et Communications;Fonds Avenir Mécénat Culture;Surplus (déficit);Surplus (déficit) cumulé lié aux activités, à la fin;460 000
Culture et Communications;Fonds Avenir Mécénat Culture;Investissements;Excédent à approuver;0
Culture et Communications;Fonds du patrimoine culturel québécois;Revenus;Transferts provenant du ministère responsable;22 168 000
Culture et Communications;Fonds du patrimoine culturel québécois;Revenus;Revenus divers;3 140 000
Culture et Communications;Fonds du patrimoine culturel québécois;Dépenses;Fonctionnement;1 000
Culture et Communications;Fonds du patrimoine culturel québécois;Dépenses;Transferts;18 411 000
Culture et Communications;Fonds du patrimoine culturel québécois;Dépenses;Excédent à approuver;0
Culture et Communications;Fonds du patrimoine culturel québécois;Surplus (déficit);Surplus (déficit) de l'exercice lié aux activités;6 897 000
Culture et Communications;Fonds du patrimoine culturel québécois;Surplus (déficit);Surplus (déficit) cumulé lié aux activités, au début;71 102 000
Culture et Communications;Fonds du patrimoine culturel québécois;Surplus (déficit);Surplus (déficit) cumulé lié aux activités, à la fin;77 998 000
Culture et Communications;Fonds du patrimoine culturel québécois;Investissements;Excédent à approuver;0
Cybersécurité et Numérique;Fonds de la cybersécurité et du numérique;Revenus;Transferts provenant du ministère responsable;136 761 000
Cybersécurité et Numérique;Fonds de la cybersécurité et du numérique;Revenus;Revenus divers;538 638 000
Cybersécurité et Numérique;Fonds de la cybersécurité et du numérique;Dépenses;Rémunération;166 631 000
Cybersécurité et Numérique;Fonds de la cybersécurité et du numérique;Dépenses;Fonctionnement;488 903 000
Cybersécurité et Numérique;Fonds de la cybersécurité et du numérique;Dépenses;Créances douteuses et autres provisions;-3 000
Cybersécurité et Numérique;Fonds de la cybersécurité et du numérique;Dépenses;Service de la dette;17 833 000
Cybersécurité et Numérique;Fonds de la cybersécurité et du numérique;Dépenses;Excédent à approuver;52 562 000
Cybersécurité et Numérique;Fonds de la cybersécurité et du numérique;Surplus (déficit);Surplus (déficit) de l'exercice lié aux activités;2 034 000
Cybersécurité et Numérique;Fonds de la cybersécurité et du numérique;Surplus (déficit);Surplus (déficit) cumulé lié aux activités, au début;17 416 000
Cybersécurité et Numérique;Fonds de la cybersécurité et du numérique;Surplus (déficit);Surplus (déficit) cumulé lié aux activités, à la fin;19 451 000
Cybersécurité et Numérique;Fonds de la cybersécurité et du numérique;Investissements;Immobilisations autres qu'en ressources informationnelles;42 404 000
Cybersécurité et Numérique;Fonds de la cybersécurité et du numérique;Investissements;Immobilisations en ressources informationnelles;101 851 000
Cybersécurité et Numérique;Fonds de la cybersécurité et du numérique;Investissements;Excédent à approuver;16 240 000
Économie, Innovation et Énergie;Capital ressources naturelles et énergie;Revenus;Revenus divers;8 775 000
Économie, Innovation et Énergie;Capital ressources naturelles et énergie;Dépenses;Fonctionnement;3 232 000
Économie, Innovation et Énergie;Capital ressources naturelles et énergie;Dépenses;Créances douteuses et autres provisions;1 318 000
Économie, Innovation et Énergie;Capital ressources naturelles et énergie;Dépenses;Dépenses liées aux quotes-parts des participations;3 680 000
Économie, Innovation et Énergie;Capital ressources naturelles et énergie;Dépenses;Excédent à approuver;4 372 000
Économie, Innovation et Énergie;Capital ressources naturelles et énergie;Surplus (déficit);Surplus (déficit) de l'exercice lié aux activités;545 000
Économie, Innovation et Énergie;Capital ressources naturelles et énergie;Surplus (déficit);Surplus (déficit) cumulé lié aux activités, au début;-207 412 000
