Fin-stmt_Etat-consolide_eng,Section-lvl1_niv1_eng,Section-lvl2_niv2_eng,Section-lvl3_niv3_eng,Section-lvl4_niv4_eng,Type-detail_eng,2013/2014,2014/2015,2015/2016,2016/2017,2017/2018,2018/2019,2019/2020,2020/2021,2021/2022,2022/2023,Amt-units_Mnt-unite
"Consolidated Statement of Operations and Accumulated Deficit-detailed",Revenues,"Tax revenues","Income tax revenues",Personal,,130811,135743,144897,143680,153619,163881,167576,174755,198385,207872,x1000000
"Consolidated Statement of Operations and Accumulated Deficit-detailed",Revenues,"Tax revenues","Income tax revenues",Corporate,,36587,39447,41444,42216,47805,50368,50060,54112,78815,93945,x1000000
"Consolidated Statement of Operations and Accumulated Deficit-detailed",Revenues,"Tax revenues","Income tax revenues",Non-resident,,6404,6216,6505,7071,7845,9370,9476,8107,10789,13187,x1000000
"Consolidated Statement of Operations and Accumulated Deficit-detailed",Revenues,"Tax revenues","Other taxes and duties","Goods and services tax",,30998,31349,32952,34368,36751,38221,37386,32415,46165,45962,x1000000
"Consolidated Statement of Operations and Accumulated Deficit-detailed",Revenues,"Tax revenues","Other taxes and duties","Energy taxes",,5486,5528,5565,5634,5739,5802,5683,4894,5355,5657,x1000000
"Consolidated Statement of Operations and Accumulated Deficit-detailed",Revenues,"Tax revenues","Other taxes and duties","Customs import duties",,4239,4581,5372,5478,5416,6881,4853,4254,5237,6057,x1000000
"Consolidated Statement of Operations and Accumulated Deficit-detailed",Revenues,"Tax revenues","Other taxes and duties","Other excise taxes and duties",,5413,5724,5916,5868,5913,6323,5958,5391,5923,6548,x1000000
"Consolidated Statement of Operations and Accumulated Deficit-detailed",Revenues,"Employment insurance premiums",,,,21766,22564,23070,22125,21140,22295,22219,22392,23856,26914,x1000000
"Consolidated Statement of Operations and Accumulated Deficit-detailed",Revenues,"Proceeds from the pollution pricing framework",,,,0,0,0,0,0,0,2655,4380,6341,8041,x1000000
"Consolidated Statement of Operations and Accumulated Deficit-detailed",Revenues,"Other revenues","Enterprise Crown corporations and other government business enterprises",,,7966,9306,7916,5655,7731,7101,5059,-10542,12804,6452,x1000000
"Consolidated Statement of Operations and Accumulated Deficit-detailed",Revenues,"Other revenues","Net foreign exchange revenues",,,1682,1355,2322,2133,1473,1667,2410,2173,873,1261,x1000000
"Consolidated Statement of Operations and Accumulated Deficit-detailed",Revenues,"Other revenues",Other,,,18660,18092,16649,16640,17784,20309,20796,14115,18734,25919,x1000000
"Consolidated Statement of Operations and Accumulated Deficit-detailed",Expenses,"Program expenses","Transfer payments","Old age security benefits, guaranteed income supplement and spouse's allowance",,41786,44103,45461,48162,50644,53366,56227,58529,60774,69392,x1000000
"Consolidated Statement of Operations and Accumulated Deficit-detailed",Expenses,"Program expenses","Transfer payments","Major transfer payments to other levels of government","Canada Health Transfer",30543,32114,34025,36057,37124,38568,40872,45880,45133,47141,x1000000
"Consolidated Statement of Operations and Accumulated Deficit-detailed",Expenses,"Program expenses","Transfer payments","Major transfer payments to other levels of government","Canada Social Transfer",12215,12582,12959,13348,13748,14161,14585,15023,15474,15938,x1000000
"Consolidated Statement of Operations and Accumulated Deficit-detailed",Expenses,"Program expenses","Transfer payments","Major transfer payments to other levels of government","Canada-Wide Early Learning and Child Care",0,0,0,0,0,0,0,0,2948,4489,x1000000
"Consolidated Statement of Operations and Accumulated Deficit-detailed",Expenses,"Program expenses","Transfer payments","Major transfer payments to other levels of government","Fiscal arrangements",15610,16271,16893,17145,17575,17929,18030,19299,19121,19731,x1000000
"Consolidated Statement of Operations and Accumulated Deficit-detailed",Expenses,"Program expenses","Transfer payments","Major transfer payments to other levels of government","Other major transfers",2107,2142,1973,2102,2072,5267,5688,26451,5710,3485,x1000000
"Consolidated Statement of Operations and Accumulated Deficit-detailed",Expenses,"Program expenses","Transfer payments","Employment insurance and support measures",,17300,18052,19419,20711,19715,18888,21750,58356,38923,21836,x1000000
"Consolidated Statement of Operations and Accumulated Deficit-detailed",Expenses,"Program expenses","Transfer payments","Children's benefits",,13136,14303,18025,22065,23432,23882,24344,27370,26226,24553,x1000000
"Consolidated Statement of Operations and Accumulated Deficit-detailed",Expenses,"Program expenses","Transfer payments","COVID-19 income support for workers",,0,0,0,0,0,0,4739,55832,15582,-3544,x1000000
"Consolidated Statement of Operations and Accumulated Deficit-detailed",Expenses,"Program expenses","Transfer payments","Canada emergency wage subsidy",,0,0,0,0,0,0,0,80166,22291,-257,x1000000
"Consolidated Statement of Operations and Accumulated Deficit-detailed",Expenses,"Program expenses","Transfer payments","Proceeds from the pollution pricing framework returned",,0,0,0,0,0,664,2636,4566,3814,6996,x1000000
"Consolidated Statement of Operations and Accumulated Deficit-detailed",Expenses,"Program expenses","Transfer payments","Other transfer payments",,36698,35126,34874,41580,47138,51753,54405,97961,88478,99199,x1000000
"Consolidated Statement of Operations and Accumulated Deficit-detailed",Expenses,"Program expenses","Other expenses, excluding net actuarial losses",,,64277,73971,79939,77519,86488,90077,95191,119089,124445,129596,x1000000
"Consolidated Statement of Operations and Accumulated Deficit-detailed",Expenses,"Public debt charges",,,,24729,24207,21837,21232,21889,23266,24447,20358,24487,34955,x1000000
"Consolidated Statement of Operations and Accumulated Deficit-detailed","Net actuarial losses",,,,,-19661,-7584,-10064,-9904,-10352,-8361,-10609,-15295,-10186,-9627,x1000000
"Consolidated Statement of Operations and Accumulated Deficit-detailed","Annual operating deficit",,,,,-8050,-550,-2861,-18957,-18961,-13964,-39392,-327729,-90315,-35322,x1000000
"Consolidated Statement of Operations and Accumulated Deficit-detailed","Accumulated deficit at beginning of year-as previously reported",,,,,-609391,-611881,-612330,-615986,-631899,-671254,-685450,-721360,-1048746,-1148296,x1000000
