Fin-stmt_Etat-consolide_eng,Fin-stmt_Etat-consolide_fra,Section-lvl1_niv1_eng,Section-lvl1_niv1_fra,Section-lvl2_niv2_eng,Section-lvl2_niv2_fra,Section-lvl3_niv3_eng,Section-lvl3_niv3_fra,Section-lvl4_niv4_eng,Section-lvl4_niv4_fra,Type-detail_eng,Type-detail_fra,2014/2015,2015/2016,2016/2017,2017/2018,2018/2019,2019/2020,2020/2021,2021/2022,2022/2023,2023/2024,Amt-units_Mnt-unite
"Consolidated Statement of Operations and Accumulated Deficit—detailed","État consolidé des résultats et du déficit accumulé – détaillé",Revenues,Revenus,"Tax revenues","Revenus fiscaux","Income tax revenues","Revenus d'impôt sur le revenu",Personal,Particuliers,,,135743,144897,143680,153619,163881,167576,174755,198385,207872,217696,x1000000
"Consolidated Statement of Operations and Accumulated Deficit—detailed","État consolidé des résultats et du déficit accumulé – détaillé",Revenues,Revenus,"Tax revenues","Revenus fiscaux","Income tax revenues","Revenus d'impôt sur le revenu",Corporate,Sociétés,,,39447,41444,42216,47805,50368,50060,54112,78815,93945,82468,x1000000
"Consolidated Statement of Operations and Accumulated Deficit—detailed","État consolidé des résultats et du déficit accumulé – détaillé",Revenues,Revenus,"Tax revenues","Revenus fiscaux","Income tax revenues","Revenus d'impôt sur le revenu",Non-resident,Non-résidents,,,6216,6505,7071,7845,9370,9476,8107,10789,13187,12541,x1000000
"Consolidated Statement of Operations and Accumulated Deficit—detailed","État consolidé des résultats et du déficit accumulé – détaillé",Revenues,Revenus,"Tax revenues","Revenus fiscaux","Other taxes and duties","Autres taxes et droits","Goods and services tax","Taxe sur les produits et services",,,31349,32952,34368,36751,38221,37386,32415,46165,45962,51416,x1000000
"Consolidated Statement of Operations and Accumulated Deficit—detailed","État consolidé des résultats et du déficit accumulé – détaillé",Revenues,Revenus,"Tax revenues","Revenus fiscaux","Other taxes and duties","Autres taxes et droits","Energy taxes","Taxes sur l'énergie",,,5528,5565,5634,5739,5802,5683,4894,5355,5657,5599,x1000000
"Consolidated Statement of Operations and Accumulated Deficit—detailed","État consolidé des résultats et du déficit accumulé – détaillé",Revenues,Revenus,"Tax revenues","Revenus fiscaux","Other taxes and duties","Autres taxes et droits","Customs import duties","Droits de douane à l'importation",,,4581,5372,5478,5416,6881,4853,4254,5237,6057,5571,x1000000
"Consolidated Statement of Operations and Accumulated Deficit—detailed","État consolidé des résultats et du déficit accumulé – détaillé",Revenues,Revenus,"Tax revenues","Revenus fiscaux","Other taxes and duties","Autres taxes et droits","Other excise taxes and duties","Autres taxes et droits d'accise",,,5724,5916,5868,5913,6323,5958,5391,5923,6548,6829,x1000000
"Consolidated Statement of Operations and Accumulated Deficit—detailed","État consolidé des résultats et du déficit accumulé – détaillé",Revenues,Revenus,"Employment insurance premiums","Cotisations d’assurance-emploi",,,,,,,22564,23070,22125,21140,22295,22219,22392,23856,26914,29560,x1000000
"Consolidated Statement of Operations and Accumulated Deficit—detailed","État consolidé des résultats et du déficit accumulé – détaillé",Revenues,Revenus,"Proceeds from the pollution pricing framework","Redevances en provenance du cadre sur la tarification de la pollution",,,,,,,0,0,0,0,0,2655,4380,6341,8041,10503,x1000000
"Consolidated Statement of Operations and Accumulated Deficit—detailed","État consolidé des résultats et du déficit accumulé – détaillé",Revenues,Revenus,"Other revenues","Autres revenus","Enterprise Crown corporations and other government business enterprises","Sociétés d'État entreprises et autres entreprises publiques",,,,,9306,7916,5655,7731,7101,5059,-10542,12804,6452,3217,x1000000
"Consolidated Statement of Operations and Accumulated Deficit—detailed","État consolidé des résultats et du déficit accumulé – détaillé",Revenues,Revenus,"Other revenues","Autres revenus","Net foreign exchange revenues and return on investments","Revenus nets des opérations de change et revenus de placements",,,,,3282,3403,3296,2789,3473,4218,2572,1272,2374,4290,x1000000
"Consolidated Statement of Operations and Accumulated Deficit—detailed","État consolidé des résultats et du déficit accumulé – détaillé",Revenues,Revenus,"Other revenues","Autres revenus","Other program revenues","Autres revenus de programmes",,,,,16165,15568,15477,16468,18503,18988,13716,18335,24806,29859,x1000000
"Consolidated Statement of Operations and Accumulated Deficit—detailed","État consolidé des résultats et du déficit accumulé – détaillé",Expenses,Charges,"Program expenses","Charges de programmes","Transfer payments","Paiements de transfert","Old age security benefits, guaranteed income supplement and spouse's allowance","Prestations de sécurité de la vieillesse, supplément de revenu garanti et allocation au conjoint",,,44103,45461,48162,50644,53366,56227,58529,60774,69392,76036,x1000000
"Consolidated Statement of Operations and Accumulated Deficit—detailed","État consolidé des résultats et du déficit accumulé – détaillé",Expenses,Charges,"Program expenses","Charges de programmes","Transfer payments","Paiements de transfert","Major transfer payments to other levels of government","Principaux paiements de transfert à d'autres paliers de gouvernement","Canada Health Transfer","Transfert canadien en matière de santé",32114,34025,36057,37124,38568,40872,45880,45133,47141,49431,x1000000
"Consolidated Statement of Operations and Accumulated Deficit—detailed","État consolidé des résultats et du déficit accumulé – détaillé",Expenses,Charges,"Program expenses","Charges de programmes","Transfer payments","Paiements de transfert","Major transfer payments to other levels of government","Principaux paiements de transfert à d'autres paliers de gouvernement","Canada Social Transfer","Transfert canadien en matière de programmes sociaux",12582,12959,13348,13748,14161,14585,15023,15474,15938,16417,x1000000
"Consolidated Statement of Operations and Accumulated Deficit—detailed","État consolidé des résultats et du déficit accumulé – détaillé",Expenses,Charges,"Program expenses","Charges de programmes","Transfer payments","Paiements de transfert","Major transfer payments to other levels of government","Principaux paiements de transfert à d'autres paliers de gouvernement","Canada-Wide Early Learning and Child Care","Plan d’apprentissage et de garde des jeunes enfants pancanadien",0,0,0,0,0,0,0,2948,4489,5612,x1000000
"Consolidated Statement of Operations and Accumulated Deficit—detailed","État consolidé des résultats et du déficit accumulé – détaillé",Expenses,Charges,"Program expenses","Charges de programmes","Transfer payments","Paiements de transfert","Major transfer payments to other levels of government","Principaux paiements de transfert à d'autres paliers de gouvernement","Fiscal arrangements","Accords fiscaux",16271,16893,17145,17575,17929,18030,19299,19121,19731,21738,x1000000
"Consolidated Statement of Operations and Accumulated Deficit—detailed","État consolidé des résultats et du déficit accumulé – détaillé",Expenses,Charges,"Program expenses","Charges de programmes","Transfer payments","Paiements de transfert","Major transfer payments to other levels of government","Principaux paiements de transfert à d'autres paliers de gouvernement","Other major transfers","Autres principaux transferts",2142,1973,2102,2072,5267,5688,26451,5710,3485,6975,x1000000
"Consolidated Statement of Operations and Accumulated Deficit—detailed","État consolidé des résultats et du déficit accumulé – détaillé",Expenses,Charges,"Program expenses","Charges de programmes","Transfer payments","Paiements de transfert","Employment insurance and support measures","Assurance-emploi et mesures de soutien",,,18052,19419,20711,19715,18888,21750,58356,38923,21836,23130,x1000000
"Consolidated Statement of Operations and Accumulated Deficit—detailed","État consolidé des résultats et du déficit accumulé – détaillé",Expenses,Charges,"Program expenses","Charges de programmes","Transfer payments","Paiements de transfert","Children's benefits","Prestations pour enfants",,,14303,18025,22065,23432,23882,24344,27370,26226,24553,26339,x1000000
"Consolidated Statement of Operations and Accumulated Deficit—detailed","État consolidé des résultats et du déficit accumulé – détaillé",Expenses,Charges,"Program expenses","Charges de programmes","Transfer payments","Paiements de transfert","COVID-19 income support for workers","Soutien au revenu lié à la COVID-19 pour les travailleurs",,,0,0,0,0,0,4739,55832,15582,-3544,-4838,x1000000
"Consolidated Statement of Operations and Accumulated Deficit—detailed","État consolidé des résultats et du déficit accumulé – détaillé",Expenses,Charges,"Program expenses","Charges de programmes","Transfer payments","Paiements de transfert","Canada emergency wage subsidy","Subvention salariale d'urgence du Canada",,,0,0,0,0,0,0,80166,22291,-257,-420,x1000000
"Consolidated Statement of Operations and Accumulated Deficit—detailed","État consolidé des résultats et du déficit accumulé – détaillé",Expenses,Charges,"Program expenses","Charges de programmes","Transfer payments","Paiements de transfert","Pollution pricing proceeds returned","Retour des produits issus de la tarification de la pollution",,,0,0,0,0,664,2636,4566,3814,6996,9858,x1000000
"Consolidated Statement of Operations and Accumulated Deficit—detailed","État consolidé des résultats et du déficit accumulé – détaillé",Expenses,Charges,"Program expenses","Charges de programmes","Transfer payments","Paiements de transfert","Other transfer payments","Autres paiements de transfert",,,35126,34874,41580,47138,51753,54405,97961,88478,99199,96371,x1000000
"Consolidated Statement of Operations and Accumulated Deficit—detailed","État consolidé des résultats et du déficit accumulé – détaillé",Expenses,Charges,"Program expenses","Charges de programmes","Other expenses, excluding net actuarial losses","Autres charges, excluant les pertes actuarielles nettes",,,,,73971,79939,77519,86488,90077,95191,119089,124445,129596,140014,x1000000
"Consolidated Statement of Operations and Accumulated Deficit—detailed","État consolidé des résultats et du déficit accumulé – détaillé",Expenses,Charges,"Public debt charges","Frais de la dette publique",,,,,,,24207,21837,21232,21889,23266,24447,20358,24487,34955,47273,x1000000
"Consolidated Statement of Operations and Accumulated Deficit—detailed","État consolidé des résultats et du déficit accumulé – détaillé","Net actuarial losses","Pertes actuarielles nettes",,,,,,,,,-7584,-10064,-9904,-10352,-8361,-10609,-15295,-10186,-9627,-7489,x1000000
"Consolidated Statement of Operations and Accumulated Deficit—detailed","État consolidé des résultats et du déficit accumulé – détaillé","Annual operating deficit","Déficit lié aux activités annuel",,,,,,,,,-550,-2861,-18957,-18961,-13964,-39392,-327729,-90315,-35322,-61876,x1000000
"Consolidated Statement of Operations and Accumulated Deficit—detailed","État consolidé des résultats et du déficit accumulé – détaillé","Accumulated deficit at beginning of year—as previously reported","Déficit accumulé lié aux activités au début de l’exercice – tel qu'établit antérieurement",,,,,,,,,-611881,-612330,-615986,-631899,-671254,-685450,-721360,-1048746,-1148296,-1183618,x1000000
"Consolidated Statement of Operations and Accumulated Deficit—detailed","État consolidé des résultats et du déficit accumulé – détaillé","Accounting change and restatement—Public sector pensions","Changement comptable et redressements – régimes de retraite du secteur public",,,,,,,,,-14119,-16580,-18454,-19641,0,0,0,0,0,0,x1000000
"Consolidated Statement of Operations and Accumulated Deficit—detailed","État consolidé des résultats et du déficit accumulé – détaillé","Accounting change and restatement—Asset retirement obligations","Changement comptable et redressements – Obligations liées à la mise hors service d'immobilisations",,,,,,,,,0,0,0,0,0,0,0,-5379,0,0,x1000000
"Consolidated Statement of Operations and Accumulated Deficit—detailed","État consolidé des résultats et du déficit accumulé – détaillé","Other comprehensive (loss) income","Autres éléments du résultat global",,,,,,,,,-2360,-2669,1857,-753,-232,3482,343,4465,0,0,x1000000
"Consolidated Statement of Financial Position—detailed","État consolidé de la situation financière – détaillé",Liabilities,Passifs,"Accounts payable and accrued liabilities","Créditeurs et charges à payer","Amounts payable related to tax","Créditeurs fiscaux",,,,,56198,53697,55077,61876,65200,60186,71516,78463,84747,87737,x1000000
"Consolidated Statement of Financial Position—detailed","État consolidé de la situation financière – détaillé",Liabilities,Passifs,"Accounts payable and accrued liabilities","Créditeurs et charges à payer","Other accounts payable and accrued liabilities","Autres créditeurs et charges à payer",,,,,28384,31113,30130,38740,43678,49875,62358,87852,57771,79894,x1000000
"Consolidated Statement of Financial Position—detailed","État consolidé de la situation financière – détaillé",Liabilities,Passifs,"Accounts payable and accrued liabilities","Créditeurs et charges à payer","Provision for contingent liabilities","Provision pour passif éventuel",,,,,11757,12562,16511,23030,26447,24928,44815,53436,75999,56588,x1000000
"Consolidated Statement of Financial Position—detailed","État consolidé de la situation financière – détaillé",Liabilities,Passifs,"Accounts payable and accrued liabilities","Créditeurs et charges à payer","Environmental liabilities and asset retirement obligations","Passif environnemental et obligations liées à la mise hors service d'immobilisations",,,,,12296,13282,12599,12291,13192,14646,14484,23886,23134,22643,x1000000
"Consolidated Statement of Financial Position—detailed","État consolidé de la situation financière – détaillé",Liabilities,Passifs,"Accounts payable and accrued liabilities","Créditeurs et charges à payer","Deferred revenue","Revenus reportés",,,,,8161,9684,9066,8220,7500,10522,10424,18892,17789,17194,x1000000
"Consolidated Statement of Financial Position—detailed","État consolidé de la situation financière – détaillé",Liabilities,Passifs,"Interest-bearing debt","Dette portant intérêt","Unmatured debt","Dette non échue","Payable in Canadian currency—Marketable bonds","Payable en monnaie canadienne - Obligations négociables",,,496463,513016,545382,582501,576128,603639,889137,1043240,1044997,1087686,x1000000
"Consolidated Statement of Financial Position—detailed","État consolidé de la situation financière – détaillé",Liabilities,Passifs,"Interest-bearing debt","Dette portant intérêt","Unmatured debt","Dette non échue","Payable in Canadian currency—Treasury bills","Payable en monnaie canadienne - Bons du Trésor",,,135361,137894,136464,110264,133555,151285,218664,186877,198899,262983,x1000000
"Consolidated Statement of Financial Position—detailed","État consolidé de la situation financière – détaillé",Liabilities,Passifs,"Interest-bearing debt","Dette portant intérêt","Unmatured debt","Dette non échue","Payable in Canadian currency—Retail debt","Payable en monnaie canadienne - Titres au détail",,,5660,5076,4533,2586,1237,497,299,0,0,0,x1000000
"Consolidated Statement of Financial Position—detailed","État consolidé de la situation financière – détaillé",Liabilities,Passifs,"Interest-bearing debt","Dette portant intérêt","Unmatured debt","Dette non échue","Payable in foreign currencies","Payable en devises",,,20277,22498,17626,16089,16068,15982,15469,14473,16034,21246,x1000000
