Segment_Secteur_fra,Min-portfolio_Portefeuille-min_fra,Type-detail_fra,2020/2021,2019/2020-COMP,Amt-units_Mnt-unite
"Portefeuilles ministériels","Affaires mondiales","Principaux paiements de transfert",0,0,x1000000
"Portefeuilles ministériels","Affaires mondiales","Autres paiements de transfert",22214,4769,x1000000
"Portefeuilles ministériels","Affaires mondiales","Autres charges",2572,2455,x1000000
"Portefeuilles ministériels","Affaires mondiales","Frais de la dette publique",0,0,x1000000
"Portefeuilles ministériels","Agriculture et Agroalimentaire","Principaux paiements de transfert",0,0,x1000000
"Portefeuilles ministériels","Agriculture et Agroalimentaire","Autres paiements de transfert",3208,1774,x1000000
"Portefeuilles ministériels","Agriculture et Agroalimentaire","Autres charges",1069,1133,x1000000
"Portefeuilles ministériels","Agriculture et Agroalimentaire","Frais de la dette publique",0,0,x1000000
"Portefeuilles ministériels","Anciens Combattants","Principaux paiements de transfert",0,0,x1000000
"Portefeuilles ministériels","Anciens Combattants","Autres paiements de transfert",59,56,x1000000
"Portefeuilles ministériels","Anciens Combattants","Autres charges",428,362,x1000000
"Portefeuilles ministériels","Anciens Combattants","Frais de la dette publique",0,0,x1000000
"Portefeuilles ministériels","Bureau du secrétaire du gouverneur général","Principaux paiements de transfert",0,0,x1000000
"Portefeuilles ministériels","Bureau du secrétaire du gouverneur général","Autres paiements de transfert",0,0,x1000000
"Portefeuilles ministériels","Bureau du secrétaire du gouverneur général","Autres charges",25,24,x1000000
"Portefeuilles ministériels","Bureau du secrétaire du gouverneur général","Frais de la dette publique",0,0,x1000000
"Portefeuilles ministériels","Conseil du Trésor","Principaux paiements de transfert",0,0,x1000000
"Portefeuilles ministériels","Conseil du Trésor","Autres paiements de transfert",1,1,x1000000
"Portefeuilles ministériels","Conseil du Trésor","Autres charges",3824,3581,x1000000
"Portefeuilles ministériels","Conseil du Trésor","Frais de la dette publique",0,0,x1000000
"Portefeuilles ministériels","Conseil privé","Principaux paiements de transfert",0,0,x1000000
"Portefeuilles ministériels","Conseil privé","Autres paiements de transfert",-12,81,x1000000
"Portefeuilles ministériels","Conseil privé","Autres charges",554,832,x1000000
"Portefeuilles ministériels","Conseil privé","Frais de la dette publique",0,0,x1000000
"Portefeuilles ministériels","Défense nationale","Principaux paiements de transfert",0,0,x1000000
"Portefeuilles ministériels","Défense nationale","Autres paiements de transfert",264,224,x1000000
"Portefeuilles ministériels","Défense nationale","Autres charges",28640,27320,x1000000
"Portefeuilles ministériels","Défense nationale","Frais de la dette publique",68,69,x1000000
"Portefeuilles ministériels","Emploi, Développement de la main-d'oeuvre et Inclusion des personnes handicapées","Principaux paiements de transfert",172723,82725,x1000000
"Portefeuilles ministériels","Emploi, Développement de la main-d'oeuvre et Inclusion des personnes handicapées","Autres paiements de transfert",22739,9664,x1000000
"Portefeuilles ministériels","Emploi, Développement de la main-d'oeuvre et Inclusion des personnes handicapées","Autres charges",5752,3927,x1000000
"Portefeuilles ministériels","Emploi, Développement de la main-d'oeuvre et Inclusion des personnes handicapées","Frais de la dette publique",0,0,x1000000
"Portefeuilles ministériels","Environnement et Changement climatique","Principaux paiements de transfert",0,0,x1000000
"Portefeuilles ministériels","Environnement et Changement climatique","Autres paiements de transfert",700,532,x1000000
"Portefeuilles ministériels","Environnement et Changement climatique","Autres charges",2055,1947,x1000000
"Portefeuilles ministériels","Environnement et Changement climatique","Frais de la dette publique",0,1,x1000000
"Portefeuilles ministériels","Femmes et de l'Égalité des genres","Principaux paiements de transfert",0,0,x1000000
"Portefeuilles ministériels","Femmes et de l'Égalité des genres","Autres paiements de transfert",167,66,x1000000
"Portefeuilles ministériels","Femmes et de l'Égalité des genres","Autres charges",52,46,x1000000
"Portefeuilles ministériels","Femmes et de l'Égalité des genres","Frais de la dette publique",0,0,x1000000
"Portefeuilles ministériels",Finances,"Principaux paiements de transfert",101063,75905,x1000000
"Portefeuilles ministériels",Finances,"Autres paiements de transfert",493,386,x1000000
"Portefeuilles ministériels",Finances,"Autres charges",665,585,x1000000
"Portefeuilles ministériels",Finances,"Frais de la dette publique",20062,24183,x1000000
"Portefeuilles ministériels","Gouvernement numérique","Principaux paiements de transfert",0,0,x1000000
"Portefeuilles ministériels","Gouvernement numérique","Autres paiements de transfert",0,0,x1000000
"Portefeuilles ministériels","Gouvernement numérique","Autres charges",2235,1848,x1000000
"Portefeuilles ministériels","Gouvernement numérique","Frais de la dette publique",7,15,x1000000
"Portefeuilles ministériels","Immigration, Réfugiés et Citoyenneté","Principaux paiements de transfert",0,0,x1000000
"Portefeuilles ministériels","Immigration, Réfugiés et Citoyenneté","Autres paiements de transfert",1697,1825,x1000000
"Portefeuilles ministériels","Immigration, Réfugiés et Citoyenneté","Autres charges",1704,1666,x1000000
"Portefeuilles ministériels","Immigration, Réfugiés et Citoyenneté","Frais de la dette publique",0,0,x1000000
"Portefeuilles ministériels","Infrastructure et Collectivités","Principaux paiements de transfert",4340,2170,x1000000
"Portefeuilles ministériels","Infrastructure et Collectivités","Autres paiements de transfert",3107,3214,x1000000
"Portefeuilles ministériels","Infrastructure et Collectivités","Autres charges",685,496,x1000000
"Portefeuilles ministériels","Infrastructure et Collectivités","Frais de la dette publique",52,9,x1000000
"Portefeuilles ministériels","Innovation, Sciences et Développement économique","Principaux paiements de transfert",0,0,x1000000
"Portefeuilles ministériels","Innovation, Sciences et Développement économique","Autres paiements de transfert",7369,5495,x1000000
"Portefeuilles ministériels","Innovation, Sciences et Développement économique","Autres charges",3175,3009,x1000000
"Portefeuilles ministériels","Innovation, Sciences et Développement économique","Frais de la dette publique",0,0,x1000000
"Portefeuilles ministériels",Justice,"Principaux paiements de transfert",0,0,x1000000
"Portefeuilles ministériels",Justice,"Autres paiements de transfert",443,431,x1000000
"Portefeuilles ministériels",Justice,"Autres charges",1513,1481,x1000000
"Portefeuilles ministériels",Justice,"Frais de la dette publique",0,0,x1000000
"Portefeuilles ministériels",Parlement,"Principaux paiements de transfert",0,0,x1000000
"Portefeuilles ministériels",Parlement,"Autres paiements de transfert",2,1,x1000000
"Portefeuilles ministériels",Parlement,"Autres charges",859,765,x1000000
"Portefeuilles ministériels",Parlement,"Frais de la dette publique",0,0,x1000000
"Portefeuilles ministériels","Patrimoine canadien","Principaux paiements de transfert",0,0,x1000000
"Portefeuilles ministériels","Patrimoine canadien","Autres paiements de transfert",1715,1317,x1000000
"Portefeuilles ministériels","Patrimoine canadien","Autres charges",3221,3156,x1000000
"Portefeuilles ministériels","Patrimoine canadien","Frais de la dette publique",8,3,x1000000
"Portefeuilles ministériels","Pêches, Océans et Garde côtière canadienne","Principaux paiements de transfert",0,0,x1000000
"Portefeuilles ministériels","Pêches, Océans et Garde côtière canadienne","Autres paiements de transfert",407,272,x1000000
"Portefeuilles ministériels","Pêches, Océans et Garde côtière canadienne","Autres charges",2450,2554,x1000000
"Portefeuilles ministériels","Pêches, Océans et Garde côtière canadienne","Frais de la dette publique",0,0,x1000000
"Portefeuilles ministériels","Relations Couronne-Autochtones et Affaires du Nord","Principaux paiements de transfert",0,0,x1000000
"Portefeuilles ministériels","Relations Couronne-Autochtones et Affaires du Nord","Autres paiements de transfert",6484,4532,x1000000
"Portefeuilles ministériels","Relations Couronne-Autochtones et Affaires du Nord","Autres charges",2087,1509,x1000000
"Portefeuilles ministériels","Relations Couronne-Autochtones et Affaires du Nord","Frais de la dette publique",0,0,x1000000
"Portefeuilles ministériels","Ressources naturelles","Principaux paiements de transfert",0,0,x1000000
"Portefeuilles ministériels","Ressources naturelles","Autres paiements de transfert",695,793,x1000000
"Portefeuilles ministériels","Ressources naturelles","Autres charges",1969,2280,x1000000
"Portefeuilles ministériels","Ressources naturelles","Frais de la dette publique",1,1,x1000000
"Portefeuilles ministériels","Revenu national","Principaux paiements de transfert",107530,24335,x1000000
"Portefeuilles ministériels","Revenu national","Autres paiements de transfert",13185,7322,x1000000
"Portefeuilles ministériels","Revenu national","Autres charges",10230,8475,x1000000
"Portefeuilles ministériels","Revenu national","Frais de la dette publique",0,0,x1000000
"Portefeuilles ministériels",Santé,"Principaux paiements de transfert",1250,1100,x1000000
"Portefeuilles ministériels",Santé,"Autres paiements de transfert",2428,1826,x1000000
"Portefeuilles ministériels",Santé,"Autres charges",5388,2440,x1000000
"Portefeuilles ministériels",Santé,"Frais de la dette publique",0,0,x1000000
"Portefeuilles ministériels","Sécurité publique et Protection civile","Principaux paiements de transfert",0,0,x1000000
"Portefeuilles ministériels","Sécurité publique et Protection civile","Autres paiements de transfert",514,883,x1000000
"Portefeuilles ministériels","Sécurité publique et Protection civile","Autres charges",12884,12843,x1000000
"Portefeuilles ministériels","Sécurité publique et Protection civile","Frais de la dette publique",0,1,x1000000
"Portefeuilles ministériels","Services aux Autochtones","Principaux paiements de transfert",0,0,x1000000
"Portefeuilles ministériels","Services aux Autochtones","Autres paiements de transfert",14171,11136,x1000000
"Portefeuilles ministériels","Services aux Autochtones","Autres charges",4130,2119,x1000000
"Portefeuilles ministériels","Services aux Autochtones","Frais de la dette publique",0,0,x1000000
"Portefeuilles ministériels","Services publics et Approvisionnement","Principaux paiements de transfert",0,0,x1000000
"Portefeuilles ministériels","Services publics et Approvisionnement","Autres paiements de transfert",1,0,x1000000
"Portefeuilles ministériels","Services publics et Approvisionnement","Autres charges",4029,3488,x1000000
"Portefeuilles ministériels","Services publics et Approvisionnement","Frais de la dette publique",118,123,x1000000
"Portefeuilles ministériels",Transports,"Principaux paiements de transfert",0,0,x1000000
"Portefeuilles ministériels",Transports,"Autres paiements de transfert",592,607,x1000000
"Portefeuilles ministériels",Transports,"Autres charges",2675,3067,x1000000
"Portefeuilles ministériels",Transports,"Frais de la dette publique",42,42,x1000000
"Provision pour évaluation et autres éléments",,"Principaux paiements de transfert",0,0,x1000000
"Provision pour évaluation et autres éléments",,"Autres paiements de transfert",-116,-166,x1000000
"Provision pour évaluation et autres éléments",,"Autres charges",14219,1783,x1000000
"Provision pour évaluation et autres éléments",,"Frais de la dette publique",0,0,x1000000
"Pertes actuarielles nettes",,"Principaux paiements de transfert",0,0,x1000000
"Pertes actuarielles nettes",,"Autres paiements de transfert",0,0,x1000000
"Pertes actuarielles nettes",,"Autres charges",15295,10609,x1000000
"Pertes actuarielles nettes",,"Frais de la dette publique",0,0,x1000000
