Segment_Secteur_eng,Min-portfolio_Portefeuille-min_eng,Type-detail_eng,2021/2022,2020/2021-COMP,Amt-units_Mnt-unite
Ministries,"Agriculture and Agri-Food","Major transfer payments",0,0,x1000000
Ministries,"Agriculture and Agri-Food","Other transfer payments",2223,3208,x1000000
Ministries,"Agriculture and Agri-Food","Other expenses",1060,1069,x1000000
Ministries,"Agriculture and Agri-Food","Public debt charges",0,0,x1000000
Ministries,"Canadian Heritage","Major transfer payments",0,0,x1000000
Ministries,"Canadian Heritage","Other transfer payments",1735,1715,x1000000
Ministries,"Canadian Heritage","Other expenses",4031,3221,x1000000
Ministries,"Canadian Heritage","Public debt charges",8,8,x1000000
Ministries,"Crown-Indigenous Relations and Northern Affairs","Major transfer payments",0,0,x1000000
Ministries,"Crown-Indigenous Relations and Northern Affairs","Other transfer payments",7766,6484,x1000000
Ministries,"Crown-Indigenous Relations and Northern Affairs","Other expenses",6415,2087,x1000000
Ministries,"Crown-Indigenous Relations and Northern Affairs","Public debt charges",0,0,x1000000
Ministries,"Economic Development Agency of Canada for the Regions of Québec","Major transfer payments",0,0,x1000000
Ministries,"Economic Development Agency of Canada for the Regions of Québec","Other transfer payments",225,322,x1000000
Ministries,"Economic Development Agency of Canada for the Regions of Québec","Other expenses",68,48,x1000000
Ministries,"Economic Development Agency of Canada for the Regions of Québec","Public debt charges",0,0,x1000000
Ministries,"Employment, Workforce Development and Disability Inclusion","Major transfer payments",118230,172723,x1000000
Ministries,"Employment, Workforce Development and Disability Inclusion","Other transfer payments",12257,17697,x1000000
Ministries,"Employment, Workforce Development and Disability Inclusion","Other expenses",5387,5154,x1000000
Ministries,"Employment, Workforce Development and Disability Inclusion","Public debt charges",0,0,x1000000
Ministries,"Environment and Climate Change","Major transfer payments",0,0,x1000000
Ministries,"Environment and Climate Change","Other transfer payments",648,700,x1000000
Ministries,"Environment and Climate Change","Other expenses",2078,2055,x1000000
Ministries,"Environment and Climate Change","Public debt charges",0,0,x1000000
Ministries,Finance,"Major transfer payments",80619,101063,x1000000
Ministries,Finance,"Other transfer payments",785,493,x1000000
Ministries,Finance,"Other expenses",945,665,x1000000
Ministries,Finance,"Public debt charges",24204,20062,x1000000
Ministries,"Fisheries, Oceans and the Canadian Coast Guard","Major transfer payments",0,0,x1000000
Ministries,"Fisheries, Oceans and the Canadian Coast Guard","Other transfer payments",618,407,x1000000
Ministries,"Fisheries, Oceans and the Canadian Coast Guard","Other expenses",2133,2450,x1000000
Ministries,"Fisheries, Oceans and the Canadian Coast Guard","Public debt charges",0,0,x1000000
Ministries,"Global Affairs","Major transfer payments",0,0,x1000000
Ministries,"Global Affairs","Other transfer payments",6185,22734,x1000000
Ministries,"Global Affairs","Other expenses",2943,2052,x1000000
Ministries,"Global Affairs","Public debt charges",0,0,x1000000
Ministries,Health,"Major transfer payments",2500,1250,x1000000
Ministries,Health,"Other transfer payments",2588,2428,x1000000
Ministries,Health,"Other expenses",13050,5388,x1000000
Ministries,Health,"Public debt charges",0,0,x1000000
Ministries,"Immigration, Refugees and Citizenship","Major transfer payments",0,0,x1000000
Ministries,"Immigration, Refugees and Citizenship","Other transfer payments",1770,1697,x1000000
Ministries,"Immigration, Refugees and Citizenship","Other expenses",2003,1704,x1000000
Ministries,"Immigration, Refugees and Citizenship","Public debt charges",0,0,x1000000
Ministries,"Indigenous Services","Major transfer payments",0,0,x1000000
Ministries,"Indigenous Services","Other transfer payments",15916,14171,x1000000
Ministries,"Indigenous Services","Other expenses",6811,4251,x1000000
Ministries,"Indigenous Services","Public debt charges",0,0,x1000000
Ministries,"Innovation, Science and Industry","Major transfer payments",0,0,x1000000
Ministries,"Innovation, Science and Industry","Other transfer payments",5635,6527,x1000000
Ministries,"Innovation, Science and Industry","Other expenses",3518,3526,x1000000
Ministries,"Innovation, Science and Industry","Public debt charges",0,0,x1000000
Ministries,"Intergovernmental Affairs, Infrastructure and Communities","Major transfer payments",2319,4340,x1000000
Ministries,"Intergovernmental Affairs, Infrastructure and Communities","Other transfer payments",8610,8137,x1000000
Ministries,"Intergovernmental Affairs, Infrastructure and Communities","Other expenses",898,1507,x1000000
Ministries,"Intergovernmental Affairs, Infrastructure and Communities","Public debt charges",43,52,x1000000
Ministries,Justice,"Major transfer payments",0,0,x1000000
Ministries,Justice,"Other transfer payments",518,443,x1000000
Ministries,Justice,"Other expenses",1548,1513,x1000000
Ministries,Justice,"Public debt charges",0,0,x1000000
Ministries,"National Defence","Major transfer payments",0,0,x1000000
Ministries,"National Defence","Other transfer payments",314,264,x1000000
Ministries,"National Defence","Other expenses",28732,28640,x1000000
Ministries,"National Defence","Public debt charges",67,68,x1000000
Ministries,"National Revenue","Major transfer payments",48514,107530,x1000000
Ministries,"National Revenue","Other transfer payments",16622,13185,x1000000
Ministries,"National Revenue","Other expenses",10523,10230,x1000000
Ministries,"National Revenue","Public debt charges",0,0,x1000000
Ministries,"Natural Resources","Major transfer payments",0,0,x1000000
Ministries,"Natural Resources","Other transfer payments",1306,695,x1000000
Ministries,"Natural Resources","Other expenses",2772,1969,x1000000
Ministries,"Natural Resources","Public debt charges",1,1,x1000000
Ministries,"Office of the Governor General's Secretary","Major transfer payments",0,0,x1000000
Ministries,"Office of the Governor General's Secretary","Other transfer payments",0,0,x1000000
Ministries,"Office of the Governor General's Secretary","Other expenses",24,25,x1000000
Ministries,"Office of the Governor General's Secretary","Public debt charges",0,0,x1000000
Ministries,Parliament,"Major transfer payments",0,0,x1000000
Ministries,Parliament,"Other transfer payments",2,2,x1000000
Ministries,Parliament,"Other expenses",748,859,x1000000
Ministries,Parliament,"Public debt charges",0,0,x1000000
Ministries,"Privy Council","Major transfer payments",0,0,x1000000
Ministries,"Privy Council","Other transfer payments",1,0,x1000000
Ministries,"Privy Council","Other expenses",326,330,x1000000
Ministries,"Privy Council","Public debt charges",0,0,x1000000
Ministries,"Public Safety","Major transfer payments",0,0,x1000000
Ministries,"Public Safety","Other transfer payments",5557,514,x1000000
Ministries,"Public Safety","Other expenses",14749,12884,x1000000
Ministries,"Public Safety","Public debt charges",1,0,x1000000
Ministries,"Public Services and Procurement","Major transfer payments",0,0,x1000000
Ministries,"Public Services and Procurement","Other transfer payments",5,1,x1000000
Ministries,"Public Services and Procurement","Other expenses",6045,6264,x1000000
Ministries,"Public Services and Procurement","Public debt charges",124,125,x1000000
Ministries,Transport,"Major transfer payments",0,0,x1000000
Ministries,Transport,"Other transfer payments",1010,592,x1000000
Ministries,Transport,"Other expenses",2857,2675,x1000000
Ministries,Transport,"Public debt charges",44,42,x1000000
Ministries,"Treasury Board","Major transfer payments",0,0,x1000000
Ministries,"Treasury Board","Other transfer payments",1,1,x1000000
Ministries,"Treasury Board","Other expenses",11698,3824,x1000000
Ministries,"Treasury Board","Public debt charges",0,0,x1000000
