Segment_Secteur_eng,Segment_Secteur_fra,Min-portfolio_Portefeuille-min_eng,Min-portfolio_Portefeuille-min_fra,Type-detail_eng,Type-detail_fra,2023/2024,2022/2023-COMP,Amt-units_Mnt-unite
Ministries,"Portefeuilles ministériels","Agriculture and Agri-Food","Agriculture et Agroalimentaire","Major transfer payments","Principaux paiements de transfert",0,0,x1000000
Ministries,"Portefeuilles ministériels","Agriculture and Agri-Food","Agriculture et Agroalimentaire","Other transfer payments","Autres paiements de transfert",4300,2300,x1000000
Ministries,"Portefeuilles ministériels","Agriculture and Agri-Food","Agriculture et Agroalimentaire","Other expenses","Autres charges",1124,1052,x1000000
Ministries,"Portefeuilles ministériels","Agriculture and Agri-Food","Agriculture et Agroalimentaire","Public debt charges","Frais de la dette publique",0,0,x1000000
Ministries,"Portefeuilles ministériels","Atlantic Canada Opportunities Agency","Agence de promotion économique du Canada atlantique","Major transfer payments","Principaux paiements de transfert",0,0,x1000000
Ministries,"Portefeuilles ministériels","Atlantic Canada Opportunities Agency","Agence de promotion économique du Canada atlantique","Other transfer payments","Autres paiements de transfert",284,257,x1000000
Ministries,"Portefeuilles ministériels","Atlantic Canada Opportunities Agency","Agence de promotion économique du Canada atlantique","Other expenses","Autres charges",108,98,x1000000
Ministries,"Portefeuilles ministériels","Atlantic Canada Opportunities Agency","Agence de promotion économique du Canada atlantique","Public debt charges","Frais de la dette publique",0,0,x1000000
Ministries,"Portefeuilles ministériels","Canadian Heritage","Patrimoine canadien","Major transfer payments","Principaux paiements de transfert",0,0,x1000000
Ministries,"Portefeuilles ministériels","Canadian Heritage","Patrimoine canadien","Other transfer payments","Autres paiements de transfert",1849,1999,x1000000
Ministries,"Portefeuilles ministériels","Canadian Heritage","Patrimoine canadien","Other expenses","Autres charges",3166,3984,x1000000
Ministries,"Portefeuilles ministériels","Canadian Heritage","Patrimoine canadien","Public debt charges","Frais de la dette publique",12,12,x1000000
Ministries,"Portefeuilles ministériels","Crown-Indigenous Relations and Northern Affairs","Relations Couronne-Autochtones et Affaires du Nord","Major transfer payments","Principaux paiements de transfert",0,0,x1000000
Ministries,"Portefeuilles ministériels","Crown-Indigenous Relations and Northern Affairs","Relations Couronne-Autochtones et Affaires du Nord","Other transfer payments","Autres paiements de transfert",9588,17001,x1000000
Ministries,"Portefeuilles ministériels","Crown-Indigenous Relations and Northern Affairs","Relations Couronne-Autochtones et Affaires du Nord","Other expenses","Autres charges",11276,9700,x1000000
Ministries,"Portefeuilles ministériels","Crown-Indigenous Relations and Northern Affairs","Relations Couronne-Autochtones et Affaires du Nord","Public debt charges","Frais de la dette publique",0,0,x1000000
Ministries,"Portefeuilles ministériels","Economic Development Agency of Canada for the Regions of Québec","Agence de développement économique du Canada pour les régions du Québec","Major transfer payments","Principaux paiements de transfert",0,0,x1000000
Ministries,"Portefeuilles ministériels","Economic Development Agency of Canada for the Regions of Québec","Agence de développement économique du Canada pour les régions du Québec","Other transfer payments","Autres paiements de transfert",311,343,x1000000
Ministries,"Portefeuilles ministériels","Economic Development Agency of Canada for the Regions of Québec","Agence de développement économique du Canada pour les régions du Québec","Other expenses","Autres charges",84,67,x1000000
Ministries,"Portefeuilles ministériels","Economic Development Agency of Canada for the Regions of Québec","Agence de développement économique du Canada pour les régions du Québec","Public debt charges","Frais de la dette publique",0,0,x1000000
Ministries,"Portefeuilles ministériels","Employment and Workforce Development","Emploi et Développement de la main-d'œuvre","Major transfer payments","Principaux paiements de transfert",99941,92175,x1000000
Ministries,"Portefeuilles ministériels","Employment and Workforce Development","Emploi et Développement de la main-d'œuvre","Other transfer payments","Autres paiements de transfert",14474,11851,x1000000
Ministries,"Portefeuilles ministériels","Employment and Workforce Development","Emploi et Développement de la main-d'œuvre","Other expenses","Autres charges",9957,5929,x1000000
Ministries,"Portefeuilles ministériels","Employment and Workforce Development","Emploi et Développement de la main-d'œuvre","Public debt charges","Frais de la dette publique",0,0,x1000000
Ministries,"Portefeuilles ministériels","Environment and Climate Change","Environnement et Changement climatique","Major transfer payments","Principaux paiements de transfert",0,0,x1000000
Ministries,"Portefeuilles ministériels","Environment and Climate Change","Environnement et Changement climatique","Other transfer payments","Autres paiements de transfert",1024,736,x1000000
Ministries,"Portefeuilles ministériels","Environment and Climate Change","Environnement et Changement climatique","Other expenses","Autres charges",2823,2471,x1000000
Ministries,"Portefeuilles ministériels","Environment and Climate Change","Environnement et Changement climatique","Public debt charges","Frais de la dette publique",0,0,x1000000
Ministries,"Portefeuilles ministériels",Finance,Finances,"Major transfer payments","Principaux paiements de transfert",87893,82826,x1000000
Ministries,"Portefeuilles ministériels",Finance,Finances,"Other transfer payments","Autres paiements de transfert",-604,6118,x1000000
Ministries,"Portefeuilles ministériels",Finance,Finances,"Other expenses","Autres charges",834,927,x1000000
Ministries,"Portefeuilles ministériels",Finance,Finances,"Public debt charges","Frais de la dette publique",47007,34678,x1000000
Ministries,"Portefeuilles ministériels","Fisheries, Oceans and the Canadian Coast Guard","Pêches, Océans et Garde côtière canadienne","Major transfer payments","Principaux paiements de transfert",0,0,x1000000
Ministries,"Portefeuilles ministériels","Fisheries, Oceans and the Canadian Coast Guard","Pêches, Océans et Garde côtière canadienne","Other transfer payments","Autres paiements de transfert",565,393,x1000000
Ministries,"Portefeuilles ministériels","Fisheries, Oceans and the Canadian Coast Guard","Pêches, Océans et Garde côtière canadienne","Other expenses","Autres charges",3089,2693,x1000000
Ministries,"Portefeuilles ministériels","Fisheries, Oceans and the Canadian Coast Guard","Pêches, Océans et Garde côtière canadienne","Public debt charges","Frais de la dette publique",0,0,x1000000
Ministries,"Portefeuilles ministériels","Global Affairs","Affaires mondiales","Major transfer payments","Principaux paiements de transfert",0,0,x1000000
Ministries,"Portefeuilles ministériels","Global Affairs","Affaires mondiales","Other transfer payments","Autres paiements de transfert",5225,6947,x1000000
Ministries,"Portefeuilles ministériels","Global Affairs","Affaires mondiales","Other expenses","Autres charges",3037,3143,x1000000
Ministries,"Portefeuilles ministériels","Global Affairs","Affaires mondiales","Public debt charges","Frais de la dette publique",0,0,x1000000
Ministries,"Portefeuilles ministériels",Health,Santé,"Major transfer payments","Principaux paiements de transfert",4300,1200,x1000000
Ministries,"Portefeuilles ministériels",Health,Santé,"Other transfer payments","Autres paiements de transfert",2834,2762,x1000000
Ministries,"Portefeuilles ministériels",Health,Santé,"Other expenses","Autres charges",7511,8184,x1000000
Ministries,"Portefeuilles ministériels",Health,Santé,"Public debt charges","Frais de la dette publique",0,0,x1000000
Ministries,"Portefeuilles ministériels","Immigration, Refugees and Citizenship","Immigration, Réfugiés et Citoyenneté","Major transfer payments","Principaux paiements de transfert",0,0,x1000000
Ministries,"Portefeuilles ministériels","Immigration, Refugees and Citizenship","Immigration, Réfugiés et Citoyenneté","Other transfer payments","Autres paiements de transfert",2981,2795,x1000000
Ministries,"Portefeuilles ministériels","Immigration, Refugees and Citizenship","Immigration, Réfugiés et Citoyenneté","Other expenses","Autres charges",3821,2906,x1000000
Ministries,"Portefeuilles ministériels","Immigration, Refugees and Citizenship","Immigration, Réfugiés et Citoyenneté","Public debt charges","Frais de la dette publique",0,0,x1000000
Ministries,"Portefeuilles ministériels","Indigenous Services","Services aux Autochtones","Major transfer payments","Principaux paiements de transfert",0,0,x1000000
Ministries,"Portefeuilles ministériels","Indigenous Services","Services aux Autochtones","Other transfer payments","Autres paiements de transfert",19636,17695,x1000000
Ministries,"Portefeuilles ministériels","Indigenous Services","Services aux Autochtones","Other expenses","Autres charges",4249,6141,x1000000
Ministries,"Portefeuilles ministériels","Indigenous Services","Services aux Autochtones","Public debt charges","Frais de la dette publique",0,0,x1000000
Ministries,"Portefeuilles ministériels","Infrastructure and Communities","Infrastructure et Collectivités","Major transfer payments","Principaux paiements de transfert",2368,2269,x1000000
Ministries,"Portefeuilles ministériels","Infrastructure and Communities","Infrastructure et Collectivités","Other transfer payments","Autres paiements de transfert",10389,8288,x1000000
Ministries,"Portefeuilles ministériels","Infrastructure and Communities","Infrastructure et Collectivités","Other expenses","Autres charges",850,896,x1000000
Ministries,"Portefeuilles ministériels","Infrastructure and Communities","Infrastructure et Collectivités","Public debt charges","Frais de la dette publique",47,43,x1000000
Ministries,"Portefeuilles ministériels","Innovation, Science and Industry","Innovation, Sciences et Industrie","Major transfer payments","Principaux paiements de transfert",0,0,x1000000
Ministries,"Portefeuilles ministériels","Innovation, Science and Industry","Innovation, Sciences et Industrie","Other transfer payments","Autres paiements de transfert",6871,5943,x1000000
Ministries,"Portefeuilles ministériels","Innovation, Science and Industry","Innovation, Sciences et Industrie","Other expenses","Autres charges",3513,3360,x1000000
Ministries,"Portefeuilles ministériels","Innovation, Science and Industry","Innovation, Sciences et Industrie","Public debt charges","Frais de la dette publique",0,0,x1000000
Ministries,"Portefeuilles ministériels",Justice,Justice,"Major transfer payments","Principaux paiements de transfert",0,0,x1000000
Ministries,"Portefeuilles ministériels",Justice,Justice,"Other transfer payments","Autres paiements de transfert",671,595,x1000000
Ministries,"Portefeuilles ministériels",Justice,Justice,"Other expenses","Autres charges",1772,1621,x1000000
Ministries,"Portefeuilles ministériels",Justice,Justice,"Public debt charges","Frais de la dette publique",0,0,x1000000
Ministries,"Portefeuilles ministériels","National Defence","Défense nationale","Major transfer payments","Principaux paiements de transfert",0,0,x1000000
Ministries,"Portefeuilles ministériels","National Defence","Défense nationale","Other transfer payments","Autres paiements de transfert",1131,1332,x1000000
Ministries,"Portefeuilles ministériels","National Defence","Défense nationale","Other expenses","Autres charges",31868,31255,x1000000
Ministries,"Portefeuilles ministériels","National Defence","Défense nationale","Public debt charges","Frais de la dette publique",64,66,x1000000
Ministries,"Portefeuilles ministériels","National Revenue","Revenu national","Major transfer payments","Principaux paiements de transfert",25918,24294,x1000000
Ministries,"Portefeuilles ministériels","National Revenue","Revenu national","Other transfer payments","Autres paiements de transfert",18462,14886,x1000000
Ministries,"Portefeuilles ministériels","National Revenue","Revenu national","Other expenses","Autres charges",15534,10927,x1000000
Ministries,"Portefeuilles ministériels","National Revenue","Revenu national","Public debt charges","Frais de la dette publique",0,0,x1000000
Ministries,"Portefeuilles ministériels","Natural Resources","Ressources naturelles","Major transfer payments","Principaux paiements de transfert",0,0,x1000000
Ministries,"Portefeuilles ministériels","Natural Resources","Ressources naturelles","Other transfer payments","Autres paiements de transfert",2392,1606,x1000000
Ministries,"Portefeuilles ministériels","Natural Resources","Ressources naturelles","Other expenses","Autres charges",2423,1510,x1000000
Ministries,"Portefeuilles ministériels","Natural Resources","Ressources naturelles","Public debt charges","Frais de la dette publique",1,1,x1000000
Ministries,"Portefeuilles ministériels","Office of the Governor General's Secretary","Bureau du secrétaire du gouverneur général","Major transfer payments","Principaux paiements de transfert",0,0,x1000000
Ministries,"Portefeuilles ministériels","Office of the Governor General's Secretary","Bureau du secrétaire du gouverneur général","Other transfer payments","Autres paiements de transfert",0,0,x1000000
Ministries,"Portefeuilles ministériels","Office of the Governor General's Secretary","Bureau du secrétaire du gouverneur général","Other expenses","Autres charges",26,26,x1000000
Ministries,"Portefeuilles ministériels","Office of the Governor General's Secretary","Bureau du secrétaire du gouverneur général","Public debt charges","Frais de la dette publique",0,0,x1000000
Ministries,"Portefeuilles ministériels",Parliament,Parlement,"Major transfer payments","Principaux paiements de transfert",0,0,x1000000
Ministries,"Portefeuilles ministériels",Parliament,Parlement,"Other transfer payments","Autres paiements de transfert",2,2,x1000000
Ministries,"Portefeuilles ministériels",Parliament,Parlement,"Other expenses","Autres charges",933,811,x1000000
Ministries,"Portefeuilles ministériels",Parliament,Parlement,"Public debt charges","Frais de la dette publique",0,0,x1000000
Ministries,"Portefeuilles ministériels","Prairies and Canadian Northern Economic Development","Développement économique des Prairies et du Nord canadien","Major transfer payments","Principaux paiements de transfert",0,0,x1000000
Ministries,"Portefeuilles ministériels","Prairies and Canadian Northern Economic Development","Développement économique des Prairies et du Nord canadien","Other transfer payments","Autres paiements de transfert",297,547,x1000000
Ministries,"Portefeuilles ministériels","Prairies and Canadian Northern Economic Development","Développement économique des Prairies et du Nord canadien","Other expenses","Autres charges",79,133,x1000000
Ministries,"Portefeuilles ministériels","Prairies and Canadian Northern Economic Development","Développement économique des Prairies et du Nord canadien","Public debt charges","Frais de la dette publique",0,0,x1000000
Ministries,"Portefeuilles ministériels","Privy Council","Conseil privé","Major transfer payments","Principaux paiements de transfert",0,0,x1000000
Ministries,"Portefeuilles ministériels","Privy Council","Conseil privé","Other transfer payments","Autres paiements de transfert",88,146,x1000000
Ministries,"Portefeuilles ministériels","Privy Council","Conseil privé","Other expenses","Autres charges",451,430,x1000000
Ministries,"Portefeuilles ministériels","Privy Council","Conseil privé","Public debt charges","Frais de la dette publique",0,0,x1000000
Ministries,"Portefeuilles ministériels","Public Safety, Democratic Institutions and Intergovernmental Affairs","Sécurité publique, Institutions démocratiques et Affaires intergouvernementales","Major transfer payments","Principaux paiements de transfert",0,0,x1000000
Ministries,"Portefeuilles ministériels","Public Safety, Democratic Institutions and Intergovernmental Affairs","Sécurité publique, Institutions démocratiques et Affaires intergouvernementales","Other transfer payments","Autres paiements de transfert",1759,484,x1000000
Ministries,"Portefeuilles ministériels","Public Safety, Democratic Institutions and Intergovernmental Affairs","Sécurité publique, Institutions démocratiques et Affaires intergouvernementales","Other expenses","Autres charges",17016,14518,x1000000
Ministries,"Portefeuilles ministériels","Public Safety, Democratic Institutions and Intergovernmental Affairs","Sécurité publique, Institutions démocratiques et Affaires intergouvernementales","Public debt charges","Frais de la dette publique",1,1,x1000000
Ministries,"Portefeuilles ministériels","Public Services and Procurement","Services publics et Approvisionnement","Major transfer payments","Principaux paiements de transfert",0,0,x1000000
Ministries,"Portefeuilles ministériels","Public Services and Procurement","Services publics et Approvisionnement","Other transfer payments","Autres paiements de transfert",1,-4,x1000000
Ministries,"Portefeuilles ministériels","Public Services and Procurement","Services publics et Approvisionnement","Other expenses","Autres charges",6775,6279,x1000000
Ministries,"Portefeuilles ministériels","Public Services and Procurement","Services publics et Approvisionnement","Public debt charges","Frais de la dette publique",108,119,x1000000
Ministries,"Portefeuilles ministériels",Transport,Transports,"Major transfer payments","Principaux paiements de transfert",0,0,x1000000
