Fscl-yr_Ex-fin,Min-portfolio_Portefeuille-min_eng,Dept-name_Nom-min_eng,Std-obj1_Art-crnt1,Std-obj2_Art-crnt2,Std-obj3_Art-crnt3,Std-obj4_Art-crnt4,Std-obj5_Art-crnt5,Std-obj6_Art-crnt6,Std-obj7_Art-crnt7,Std-obj8_Art-crnt8,Std-obj9_Art-crnt9,Std-obj10_Art-crnt10,Std-obj11_Art-crnt11,Std-obj12_Art-crnt12,External-revenues_Revenus-externes,Internal-revenues_Revenus-internes,Amt-units_Mnt-unite
2017/2018,"Agriculture and Agri-Food","Department of Agriculture and Agri-Food",495273,17290,7834,106725,7717,12869,34926,32225,45359,1269798,0,12006,39105,18019,x1000
2017/2018,"Agriculture and Agri-Food","Canadian Dairy Commission",0,0,0,0,0,0,0,0,0,0,0,3924,0,0,x1000
2017/2018,"Agriculture and Agri-Food","Canadian Grain Commission",45030,3233,300,3093,5649,2430,1297,0,4760,0,0,201,68368,589,x1000
2017/2018,"Canadian Heritage","Department of Canadian Heritage",187079,5304,8617,30750,5951,1204,3750,0,5421,1259281,0,2598,8078,2810,x1000
2017/2018,"Canadian Heritage","Canada Council for the Arts",0,0,0,0,0,0,0,0,0,0,0,258714,0,0,x1000
2017/2018,"Canadian Heritage","Canadian Broadcasting Corporation",0,0,0,0,0,0,0,0,0,0,0,1222083,0,0,x1000
2017/2018,"Canadian Heritage","Canadian Museum for Human Rights",0,0,0,0,0,0,0,0,0,0,0,25352,0,0,x1000
2017/2018,"Canadian Heritage","Canadian Museum of History",0,0,0,0,0,0,0,0,0,0,0,74013,0,0,x1000
2017/2018,"Canadian Heritage","Canadian Museum of Immigration at Pier 21",0,0,0,0,0,0,0,0,0,0,0,7963,0,0,x1000
2017/2018,"Canadian Heritage","Canadian Museum of Nature",0,0,0,0,0,0,0,0,0,0,0,33269,0,0,x1000
2017/2018,"Canadian Heritage","Canadian Radio-television and Telecommunications Commission",51160,1362,1266,4210,855,428,233,0,3313,0,0,778,51560,0,x1000
2017/2018,"Canadian Heritage","Library and Archives of Canada",87967,1151,417,13180,4923,1388,2786,6051,2507,1527,0,5904,195,189,x1000
2017/2018,"Canadian Heritage","National Arts Centre Corporation",0,0,0,0,0,0,0,0,0,0,0,141324,0,0,x1000
2017/2018,"Canadian Heritage","National Capital Commission",0,0,0,0,0,0,0,0,0,0,0,89630,0,0,x1000
2017/2018,"Canadian Heritage","National Film Board",40761,3054,1601,15455,6723,2260,541,0,3453,0,0,23,7205,312,x1000
2017/2018,"Canadian Heritage","National Gallery of Canada",0,0,0,0,0,0,0,0,0,0,0,49413,0,0,x1000
2017/2018,"Canadian Heritage","National Museum of Science and Technology",0,0,0,0,0,0,0,0,0,0,0,145278,0,0,x1000
2017/2018,"Canadian Heritage","Office of the Co-ordinator, Status of Women",15002,936,337,4922,332,16,76,0,770,20830,0,83,0,0,x1000
2017/2018,"Canadian Heritage","Telefilm Canada",0,0,0,0,0,0,0,0,0,0,0,103572,0,0,x1000
2017/2018,"Canadian Heritage","The National Battlefields Commission",4295,119,233,860,80,667,631,70,192,0,0,2605,0,0,x1000
2017/2018,"Environment and Climate Change","Department of the Environment",693842,33995,5295,158381,45564,21085,37480,980,32365,200135,0,13923,53081,25157,x1000
2017/2018,"Environment and Climate Change","Canadian Environmental Assessment Agency",28942,1029,205,5345,263,5,112,0,684,3827,0,880,1432,38,x1000
2017/2018,"Environment and Climate Change","Parks Canada Agency",415111,24180,10863,219952,34125,32863,57353,421927,30176,19060,0,51423,0,0,x1000
2017/2018,"Families, Children and Social Development","Department of Employment and Social Development",2140105,63054,69898,653414,220854,8535,7693,0,51287,56596721,0,242519,381184,1701649,x1000
2017/2018,"Families, Children and Social Development","Canada Mortgage and Housing Corporation",0,0,0,0,0,0,0,0,0,0,0,2689240,0,0,x1000
2017/2018,"Families, Children and Social Development","Canadian Centre for Occupational Health and Safety",8090,197,80,1395,30,182,78,0,105,0,0,0,0,0,x1000
2017/2018,Finance,"Department of Finance",89885,2901,2060,11967,1475,361,94439,0,2120,68970039,20838325,313146,0,0,x1000
2017/2018,Finance,"Financial Consumer Agency of Canada",13983,697,1092,3721,1044,76,68,0,772,0,0,65,0,0,x1000
2017/2018,Finance,"Financial Transactions and Reports Analysis Centre of Canada",41897,1379,380,4205,5534,279,427,0,1071,0,0,76,0,0,x1000
2017/2018,Finance,"Office of the Auditor General",70701,3469,640,5632,1156,159,210,0,851,0,0,10,398,0,x1000
2017/2018,Finance,"Office of the Superintendent of Financial Institutions",117114,4138,1479,14714,11381,835,330,938,4025,0,0,48,0,0,x1000
2017/2018,"Fisheries, Oceans and the Canadian Coast Guard","Department of Fisheries and Oceans",1077925,89826,3133,569449,29763,154462,114580,228015,231213,128862,0,35634,42398,0,x1000
2017/2018,"Global Affairs","Department of Foreign Affairs, Trade and Development",1174392,125965,19398,272681,187603,27773,46437,64076,71543,4539007,0,81699,35142,1145,x1000
2017/2018,"Global Affairs","Canadian Commercial Corporation",0,0,0,0,0,0,0,0,0,0,0,0,0,0,x1000
