Fscl-yr_Ex-fin,Min-portfolio_Portefeuille-min_fra,Dept-name_Nom-min_fra,Std-obj1_Art-crnt1,Std-obj2_Art-crnt2,Std-obj3_Art-crnt3,Std-obj4_Art-crnt4,Std-obj5_Art-crnt5,Std-obj6_Art-crnt6,Std-obj7_Art-crnt7,Std-obj8_Art-crnt8,Std-obj9_Art-crnt9,Std-obj10_Art-crnt10,Std-obj11_Art-crnt11,Std-obj12_Art-crnt12,External-revenues_Revenus-externes,Internal-revenues_Revenus-internes,Amt-units_Mnt-unite
2018/2019,"Affaires mondiales","Ministère des Affaires étrangères, du Commerce et du Développement",1253719,148679,25162,298653,213937,32315,46764,48103,91859,4831996,0,103514,36265,1561,x1000
2018/2019,"Affaires mondiales","Exportation et développement Canada (Compte du Canada)",0,0,0,7409,0,0,0,0,0,0,0,1628,0,0,x1000
2018/2019,"Affaires mondiales","Centre de recherches pour le développement international",0,0,0,0,0,0,0,0,0,0,0,140366,0,0,x1000
2018/2019,"Affaires mondiales","Commission mixte internationale (section canadienne)",4115,451,120,2419,470,3,28,439,452,0,0,6,0,0,x1000
2018/2019,"Affaires mondiales","Investir au Canada",3264,774,1161,3450,267,3,97,1340,363,0,0,0,0,0,x1000
2018/2019,"Agriculture et Agroalimentaire","Ministère de l'Agriculture et de l'Agroalimentaire",480672,14543,9494,102540,7287,13884,33814,25607,50024,1427729,0,45222,35115,17755,x1000
2018/2019,"Agriculture et Agroalimentaire","Commission canadienne du lait",0,0,0,0,0,0,0,0,0,0,0,3979,0,0,x1000
2018/2019,"Agriculture et Agroalimentaire","Commission canadienne des grains",44835,3293,271,2799,5894,2807,1679,0,2521,0,0,238,61580,604,x1000
2018/2019,"Anciens Combattants","Ministère des Anciens Combattants",257606,44314,4556,485980,9109,6980,219005,478,4874,3655865,0,1696,0,0,x1000
2018/2019,"Anciens Combattants","Tribunal des anciens combattants (révision et appel)",8264,687,4,550,36,84,95,0,160,0,0,26,0,0,x1000
2018/2019,"Bureau du secrétaire du gouverneur général","Bureau du secrétaire du gouverneur général",15138,1912,608,1879,447,32,1134,0,1232,732,0,63,0,0,x1000
2018/2019,"Conseil du Trésor","Secrétariat du Conseil du Trésor",6687892,3428,634,123660,4853,1297,756,0,8421,1183,0,-6874,493788,175605,x1000
2018/2019,"Conseil du Trésor","École de la fonction publique du Canada",65236,2374,1208,13071,1076,257,372,673,4291,0,0,-3323,0,0,x1000
2018/2019,"Conseil du Trésor","Commissariat au lobbying",3157,73,18,1301,48,4,17,395,300,0,0,-3,0,0,x1000
2018/2019,"Conseil du Trésor","Commissariat à l'intégrité du secteur public",3732,106,34,875,35,1,5,734,59,30,0,10,0,0,x1000
2018/2019,"Conseil privé","Bureau du Conseil privé",134387,8727,15864,34096,3025,3631,1199,0,5680,7431,0,1197,65,895,x1000
2018/2019,"Conseil privé","Secrétariat des conférences intergouvernementales canadiennes",2602,732,29,1100,598,22,24,0,163,0,0,0,0,0,x1000
2018/2019,"Conseil privé","Bureau canadien d'enquête sur les accidents de transport et de la sécurité des transports",26082,1610,163,1778,398,397,272,0,1416,0,0,5,0,0,x1000
2018/2019,"Conseil privé","Commissariat aux langues officielles",17317,560,128,2330,325,271,91,0,692,0,0,189,0,0,x1000
2018/2019,"Conseil privé","Commission de la fonction publique",78527,1076,274,10536,1333,144,271,0,2725,0,0,1049,135,9234,x1000
2018/2019,"Conseil privé","Comité de surveillance des activités de renseignement de sécurité",3279,384,31,567,83,19,36,0,580,0,0,13,0,0,x1000
2018/2019,"Défense nationale","Ministère de la Défense nationale",9794735,826985,19858,3669840,540362,1536549,1082055,516803,3545656,209312,8753,245486,364429,16023,x1000
2018/2019,"Défense nationale","Centre de la sécurité des télécommunications",304555,0,0,0,0,0,0,9796,0,0,66545,312356,371,11225,x1000
2018/2019,"Défense nationale","Comité externe d'examen des griefs militaires",4854,38,24,624,489,4,36,95,147,0,0,-1,0,0,x1000
2018/2019,"Défense nationale","Commission d'examen des plaintes concernant la police militaire",3286,161,88,795,371,7,18,11,40,0,0,-1,0,0,x1000
2018/2019,"Défense nationale","Bureau du commissaire du Centre de la sécurité des télécommunications",1337,79,37,326,297,2,21,0,7,0,0,17,0,0,x1000
2018/2019,"Environnement et Changement climatique","Ministère de l'Environnement",712103,42003,6122,179144,30955,16602,39113,959,36059,402863,505,6928,56641,23360,x1000
2018/2019,"Environnement et Changement climatique","Agence canadienne d'évaluation environnementale",31732,1360,321,5912,583,120,485,0,1593,5090,0,1828,1460,0,x1000
2018/2019,"Environnement et Changement climatique","Agence Parcs Canada",495474,22635,10281,218352,27065,33280,58892,473866,28359,23088,136,68896,0,0,x1000
2018/2019,"Famille, Enfants et Développement social","Ministère de l'Emploi et du Développement social",2108081,61509,65866,669092,220267,5111,6015,0,31385,59870390,0,212755,393348,1654972,x1000
2018/2019,"Famille, Enfants et Développement social","Société canadienne d'hypothèques et de logement",0,0,0,0,0,0,0,0,0,0,0,2086438,0,0,x1000
2018/2019,"Famille, Enfants et Développement social","Centre canadien d'hygiène et de sécurité au travail",8250,250,98,1581,47,229,88,0,17,0,0,0,0,0,x1000
2018/2019,"Femme et Égalité des genres","Ministère des Femmes et de l'Égalité des genres",11389,909,282,9901,243,21,87,0,505,14318,0,-166,0,0,x1000
2018/2019,"Femme et Égalité des genres","Bureau de la coordonnatrice de la situation de la femme",11638,830,161,5964,283,10,24,0,505,14956,0,286,0,0,x1000
