Fscl-yr_Ex-fin,Min-portfolio_Portefeuille-min_eng,Min-portfolio_Portefeuille-min_fra,Dept-name_Nom-min_eng,Dept-name_Nom-min_fra,Std-obj1_Art-crnt1,Std-obj2_Art-crnt2,Std-obj3_Art-crnt3,Std-obj4_Art-crnt4,Std-obj5_Art-crnt5,Std-obj6_Art-crnt6,Std-obj7_Art-crnt7,Std-obj8_Art-crnt8,Std-obj9_Art-crnt9,Std-obj10_Art-crnt10,Std-obj11_Art-crnt11,Std-obj12_Art-crnt12,External-revenues_Revenus-externes,Internal-revenues_Revenus-internes,Amt-units_Mnt-unite
2024/2025,"Agriculture and Agri-Food","Agriculture et Agroalimentaire","Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",635072,9487,11770,115016,11840,14547,35807,39794,34678,3158421,0,15508,29928,21511,x1000
2024/2025,"Agriculture and Agri-Food","Agriculture et Agroalimentaire","Canadian Dairy Commission","Commission canadienne du lait",0,0,0,0,0,0,0,0,0,0,0,5149,0,0,x1000
2024/2025,"Agriculture and Agri-Food","Agriculture et Agroalimentaire","Canadian Grain Commission","Commission canadienne des grains",56761,2755,227,3096,6005,3930,1184,0,2611,0,0,-85,59214,385,x1000
2024/2025,"Canadian Heritage <sup>4</sup>","Patrimoine canadien <sup>4</sup>","Department of Canadian Heritage","Ministère du Patrimoine canadien",243058,3594,2834,30926,5990,1602,1444,0,2022,1859295,0,632,7372,3375,x1000
2024/2025,"Canadian Heritage <sup>4</sup>","Patrimoine canadien <sup>4</sup>","Canada Council for the Arts","Conseil des Arts du Canada",0,0,0,0,0,0,0,0,0,0,0,364283,0,0,x1000
2024/2025,"Canadian Heritage <sup>4</sup>","Patrimoine canadien <sup>4</sup>","Canadian Broadcasting Corporation","Société Radio-Canada",0,0,0,0,0,0,0,0,0,0,0,1425238,0,0,x1000
2024/2025,"Canadian Heritage <sup>4</sup>","Patrimoine canadien <sup>4</sup>","Canadian Museum for Human Rights","Musée canadien des droits de la personne",0,0,0,0,0,0,0,0,0,0,0,28590,0,0,x1000
2024/2025,"Canadian Heritage <sup>4</sup>","Patrimoine canadien <sup>4</sup>","Canadian Museum of History","Musée canadien de l'histoire",0,0,0,0,0,0,0,0,0,0,0,83227,0,0,x1000
2024/2025,"Canadian Heritage <sup>4</sup>","Patrimoine canadien <sup>4</sup>","Canadian Museum of Immigration at Pier 21","Musée canadien de l'immigration du Quai 21",0,0,0,0,0,0,0,0,0,0,0,10024,0,0,x1000
2024/2025,"Canadian Heritage <sup>4</sup>","Patrimoine canadien <sup>4</sup>","Canadian Museum of Nature","Musée canadien de la nature",0,0,0,0,0,0,0,0,0,0,0,36378,0,0,x1000
2024/2025,"Canadian Heritage <sup>4</sup>","Patrimoine canadien <sup>4</sup>","Canadian Race Relations Foundation","Fondation canadienne des relations raciales",0,0,0,0,0,0,0,0,0,0,0,12092,0,0,x1000
2024/2025,"Canadian Heritage <sup>4</sup>","Patrimoine canadien <sup>4</sup>","Canadian Radio-television and Telecommunications Commission","Conseil de la radiodiffusion et des télécommunications canadiennes",95023,1090,2510,4006,2211,2052,202,0,2544,0,0,123,88492,0,x1000
2024/2025,"Canadian Heritage <sup>4</sup>","Patrimoine canadien <sup>4</sup>","Library and Archives of Canada","Bibliothèque et Archives du Canada",129506,583,277,16611,5667,976,3123,40778,1744,2656,5365,6248,127,1034,x1000
2024/2025,"Canadian Heritage <sup>4</sup>","Patrimoine canadien <sup>4</sup>","National Arts Centre Corporation","Société du Centre national des Arts",0,0,0,0,0,0,0,0,0,0,0,59525,0,0,x1000
2024/2025,"Canadian Heritage <sup>4</sup>","Patrimoine canadien <sup>4</sup>","National Film Board","Office national du film",54089,2359,2499,12986,11438,357,295,0,2181,0,0,46,3775,0,x1000
2024/2025,"Canadian Heritage <sup>4</sup>","Patrimoine canadien <sup>4</sup>","National Gallery of Canada","Musée des beaux-arts du Canada",0,0,0,0,0,0,0,0,0,0,0,50021,0,0,x1000
2024/2025,"Canadian Heritage <sup>4</sup>","Patrimoine canadien <sup>4</sup>","National Museum of Science and Technology","Musée national des sciences et de la technologie",0,0,0,0,0,0,0,0,0,0,0,38441,0,0,x1000
2024/2025,"Canadian Heritage <sup>4</sup>","Patrimoine canadien <sup>4</sup>","Telefilm Canada","Téléfilm Canada",0,0,0,0,0,0,0,0,0,0,0,158302,0,0,x1000
2024/2025,"Canadian Heritage <sup>4</sup>","Patrimoine canadien <sup>4</sup>","The National Battlefields Commission","Commission des champs de bataille nationaux",6232,186,734,2912,216,2070,1089,1431,1109,0,0,2949,0,0,x1000
2024/2025,"Crown-Indigenous Relations and Northern Affairs","Relations Couronne-Autochtones et Affaires du Nord","Department of Crown-Indigenous Relations and Northern Affairs","Ministère des Relations Couronne-Autochtones et des Affaires du Nord",246830,7480,1277,698524,3219,336,818,0,549,11906281,0,1393205,0,8868,x1000
2024/2025,"Crown-Indigenous Relations and Northern Affairs","Relations Couronne-Autochtones et Affaires du Nord","Canadian High Arctic Research Station","Station canadienne de recherche dans l'Extrême-Arctique",14124,2339,287,3832,1543,3242,2389,94,358,8075,0,184,0,0,x1000
2024/2025,"Democratic Institutions","Institutions démocratiques","Leaders' Debates Commission","Commission des débats des chefs",466,11,18,170,1,0,0,0,2,0,0,1,0,0,x1000
2024/2025,"Democratic Institutions","Institutions démocratiques","Office of the Chief Electoral Officer","Bureau du directeur général des élections",179993,11288,5179,70058,35503,1215,1289,0,5881,2064,0,810,0,0,x1000
2024/2025,"Democratic Institutions","Institutions démocratiques","Secretariat of the National Security and Intelligence Committee of Parliamentarians","Secrétariat du Comité des parlementaires sur la sécurité nationale et le renseignement",1769,48,47,1090,101,6,9,0,23,0,0,0,0,0,x1000
2024/2025,"Employment and Workforce Development","Emploi et Développement de la main-d'œuvre","Department of Employment and Social Development","Ministère de l'Emploi et du Développement social",4011256,102574,87330,998534,304633,3745,6489,0,40079,96228763,0,-87089,560049,2228645,x1000
