Fscl-yr_Ex-fin,Volume,PAC_Section_CPC,Table_Tableau,Comment_Commentaire_eng,Comment_Commentaire_fra,Table-name_Nom-tableau_eng,Table_URL_Tableau_eng,Table-name_Nom-tableau_fra,Table_URL_Tableau_fra,Dataset_Jeu-de-donnees_eng,Portal_URL_Portail_eng,Dataset_Jeu-de-donnees_fra,Portal_URL_Portail_fra,Resource_Ressource_eng,Resource_URL_Ressource_eng,Resource_Ressource_fra,Resource_URL_Ressource_fra
2022/2023,I,1,1.1,,,"Consolidated Statement of Operations and Accumulated Operating Deficit—detailed",https://www.tpsgc-pwgsc.gc.ca/recgen/cpc-pac/2023/vol1/s1/cdeif-tycfi-eng.html#t1.1,"État consolidé des résultats et du déficit accumulé lié aux activités –  détaillé",https://www.tpsgc-pwgsc.gc.ca/recgen/cpc-pac/2023/vol1/s1/cdeif-tycfi-fra.html#t1.1,"Ten Year Comparative Financial Information as per the Public Accounts of Canada",https://open.canada.ca/data/en/dataset/a679f1eb-2038-455d-8312-d6e111ff79ff,"Comparaison sur dix exercices d’informations financières selon les Comptes publics du Canada",https://ouvert.canada.ca/data/fr/dataset/a679f1eb-2038-455d-8312-d6e111ff79ff,"2014-2023 - Volume 1, Ten Year Comparative Financial Information",https://donnees-data.tpsgc-pwgsc.gc.ca/ba1/cdeif-tycfi/cdeif-tycfi-2023-eng.csv,"2014-2023 - Volume 1, Comparaison sur dix exercices d'informations financières",https://donnees-data.tpsgc-pwgsc.gc.ca/ba1/cdeif-tycfi/cdeif-tycfi-2023-fra.csv
2022/2023,I,1,1.2,,,"Consolidated Statement of Financial Position—detailed",https://www.tpsgc-pwgsc.gc.ca/recgen/cpc-pac/2023/vol1/s1/cdeif-tycfi-eng.html#t1.2,"État consolidé de la situation financière  –  détaillé",https://www.tpsgc-pwgsc.gc.ca/recgen/cpc-pac/2023/vol1/s1/cdeif-tycfi-fra.html#t1.2,"Ten Year Comparative Financial Information as per the Public Accounts of Canada",https://open.canada.ca/data/en/dataset/a679f1eb-2038-455d-8312-d6e111ff79ff,"Comparaison sur dix exercices d’informations financières selon les Comptes publics du Canada",https://ouvert.canada.ca/data/fr/dataset/a679f1eb-2038-455d-8312-d6e111ff79ff,"2014-2023 - Volume 1, Ten Year Comparative Financial Information",https://donnees-data.tpsgc-pwgsc.gc.ca/ba1/cdeif-tycfi/cdeif-tycfi-2023-eng.csv,"2014-2023 - Volume 1, Comparaison sur dix exercices d'informations financières",https://donnees-data.tpsgc-pwgsc.gc.ca/ba1/cdeif-tycfi/cdeif-tycfi-2023-fra.csv
2022/2023,I,1,1.3,,,"Consolidated Statement of Change in Net Debt—detailed",https://www.tpsgc-pwgsc.gc.ca/recgen/cpc-pac/2023/vol1/s1/cdeif-tycfi-eng.html#t1.3,"État consolidé de la variation de la dette nette  –  détaillé",https://www.tpsgc-pwgsc.gc.ca/recgen/cpc-pac/2023/vol1/s1/cdeif-tycfi-fra.html#t1.3,"Ten Year Comparative Financial Information as per the Public Accounts of Canada",https://open.canada.ca/data/en/dataset/a679f1eb-2038-455d-8312-d6e111ff79ff,"Comparaison sur dix exercices d’informations financières selon les Comptes publics du Canada",https://ouvert.canada.ca/data/fr/dataset/a679f1eb-2038-455d-8312-d6e111ff79ff,"2014-2023 - Volume 1, Ten Year Comparative Financial Information",https://donnees-data.tpsgc-pwgsc.gc.ca/ba1/cdeif-tycfi/cdeif-tycfi-2023-eng.csv,"2014-2023 - Volume 1, Comparaison sur dix exercices d'informations financières",https://donnees-data.tpsgc-pwgsc.gc.ca/ba1/cdeif-tycfi/cdeif-tycfi-2023-fra.csv
2022/2023,I,1,1.4,,,"Consolidated Statement of Cash Flow—detailed",https://www.tpsgc-pwgsc.gc.ca/recgen/cpc-pac/2023/vol1/s1/cdeif-tycfi-eng.html#t1.4,"État consolidé des flux de trésorerie  –  détaillé",https://www.tpsgc-pwgsc.gc.ca/recgen/cpc-pac/2023/vol1/s1/cdeif-tycfi-fra.html#t1.4,"Ten Year Comparative Financial Information as per the Public Accounts of Canada",https://open.canada.ca/data/en/dataset/a679f1eb-2038-455d-8312-d6e111ff79ff,"Comparaison sur dix exercices d’informations financières selon les Comptes publics du Canada",https://ouvert.canada.ca/data/fr/dataset/a679f1eb-2038-455d-8312-d6e111ff79ff,"2014-2023 - Volume 1, Ten Year Comparative Financial Information",https://donnees-data.tpsgc-pwgsc.gc.ca/ba1/cdeif-tycfi/cdeif-tycfi-2023-eng.csv,"2014-2023 - Volume 1, Comparaison sur dix exercices d'informations financières",https://donnees-data.tpsgc-pwgsc.gc.ca/ba1/cdeif-tycfi/cdeif-tycfi-2023-fra.csv
2022/2023,I,1,1.5,,,"Consolidated Statement of Non-Budgetary Transactions and of Non‑Financial Assets—detailed",https://www.tpsgc-pwgsc.gc.ca/recgen/cpc-pac/2023/vol1/s1/cdeif-tycfi-eng.html#t1.5,"État consolidé des opérations non budgétaires et des actifs non financiers  –  détaillé",https://www.tpsgc-pwgsc.gc.ca/recgen/cpc-pac/2023/vol1/s1/cdeif-tycfi-fra.html#t1.5,"Ten Year Comparative Financial Information as per the Public Accounts of Canada",https://open.canada.ca/data/en/dataset/a679f1eb-2038-455d-8312-d6e111ff79ff,"Comparaison sur dix exercices d’informations financières selon les Comptes publics du Canada",https://ouvert.canada.ca/data/fr/dataset/a679f1eb-2038-455d-8312-d6e111ff79ff,"2014-2023 - Volume 1, Ten Year Comparative Financial Information",https://donnees-data.tpsgc-pwgsc.gc.ca/ba1/cdeif-tycfi/cdeif-tycfi-2023-eng.csv,"2014-2023 - Volume 1, Comparaison sur dix exercices d'informations financières",https://donnees-data.tpsgc-pwgsc.gc.ca/ba1/cdeif-tycfi/cdeif-tycfi-2023-fra.csv
2022/2023,I,1,1.6,,,"Consolidated Statement of Foreign Exchange, Unmatured Debt and Cash Transactions—detailed",https://www.tpsgc-pwgsc.gc.ca/recgen/cpc-pac/2023/vol1/s1/cdeif-tycfi-eng.html#t1.6,"État consolidé des opérations de change, de la dette non échue et des opérations en espèces  –  détaillé",https://www.tpsgc-pwgsc.gc.ca/recgen/cpc-pac/2023/vol1/s1/cdeif-tycfi-fra.html#t1.6,"Ten Year Comparative Financial Information as per the Public Accounts of Canada",https://open.canada.ca/data/en/dataset/a679f1eb-2038-455d-8312-d6e111ff79ff,"Comparaison sur dix exercices d’informations financières selon les Comptes publics du Canada",https://ouvert.canada.ca/data/fr/dataset/a679f1eb-2038-455d-8312-d6e111ff79ff,"2014-2023 - Volume 1, Ten Year Comparative Financial Information",https://donnees-data.tpsgc-pwgsc.gc.ca/ba1/cdeif-tycfi/cdeif-tycfi-2023-eng.csv,"2014-2023 - Volume 1, Comparaison sur dix exercices d'informations financières",https://donnees-data.tpsgc-pwgsc.gc.ca/ba1/cdeif-tycfi/cdeif-tycfi-2023-fra.csv
2022/2023,I,3,3.1,,,"Revenues, expenses and accumulated operating deficit",https://www.tpsgc-pwgsc.gc.ca/recgen/cpc-pac/2023/vol1/s3/index-eng.html#t3.1,"Revenus, charges et déficit accumulé lié aux activités",https://www.tpsgc-pwgsc.gc.ca/recgen/cpc-pac/2023/vol1/s3/index-fra.html#t3.1,"Revenues, expenses and accumulated deficit, as per the Public Accounts of Canada",https://open.canada.ca/data/en/dataset/2599fe61-0e6e-40b9-958a-f56dd7f1fa09,"Revenus, charges et déficit accumulé, selon les Comptes publics du Canada",https://ouvert.canada.ca/data/fr/dataset/2599fe61-0e6e-40b9-958a-f56dd7f1fa09,"2022-2023 data file",https://donnees-data.tpsgc-pwgsc.gc.ca/ba1/revenuesdeficit/revenuesdeficit-2023-eng.csv,"2022-2023 fichier de données",https://donnees-data.tpsgc-pwgsc.gc.ca/ba1/revenuesdeficit/revenuesdeficit-2023-fra.csv
2022/2023,I,3,3.2,,,"Tax revenues",https://www.tpsgc-pwgsc.gc.ca/recgen/cpc-pac/2023/vol1/s3/rvnu-eng.html#t3.2,"Revenus fiscaux",https://www.tpsgc-pwgsc.gc.ca/recgen/cpc-pac/2023/vol1/s3/rvnu-fra.html#t3.2,"Revenues, expenses and accumulated deficit, as per the Public Accounts of Canada",https://open.canada.ca/data/en/dataset/2599fe61-0e6e-40b9-958a-f56dd7f1fa09,"Revenus, charges et déficit accumulé, selon les Comptes publics du Canada",https://ouvert.canada.ca/data/fr/dataset/2599fe61-0e6e-40b9-958a-f56dd7f1fa09,"2022-2023 data file",https://donnees-data.tpsgc-pwgsc.gc.ca/ba1/revenuesdeficit/revenuesdeficit-2023-eng.csv,"2022-2023 fichier de données",https://donnees-data.tpsgc-pwgsc.gc.ca/ba1/revenuesdeficit/revenuesdeficit-2023-fra.csv
2022/2023,I,3,3.3,,,"Goods and services tax",https://www.tpsgc-pwgsc.gc.ca/recgen/cpc-pac/2023/vol1/s3/rvnu-eng.html#t3.3,"Taxe sur les produits et services",https://www.tpsgc-pwgsc.gc.ca/recgen/cpc-pac/2023/vol1/s3/rvnu-fra.html#t3.3,"Revenues, expenses and accumulated deficit, as per the Public Accounts of Canada",https://open.canada.ca/data/en/dataset/2599fe61-0e6e-40b9-958a-f56dd7f1fa09,"Revenus, charges et déficit accumulé, selon les Comptes publics du Canada",https://ouvert.canada.ca/data/fr/dataset/2599fe61-0e6e-40b9-958a-f56dd7f1fa09,"2022-2023 data file",https://donnees-data.tpsgc-pwgsc.gc.ca/ba1/revenuesdeficit/revenuesdeficit-2023-eng.csv,"2022-2023 fichier de données",https://donnees-data.tpsgc-pwgsc.gc.ca/ba1/revenuesdeficit/revenuesdeficit-2023-fra.csv
2022/2023,I,3,3.4,,,"Other revenues",https://www.tpsgc-pwgsc.gc.ca/recgen/cpc-pac/2023/vol1/s3/rvnu-eng.html#t3.4,"Autres revenus",https://www.tpsgc-pwgsc.gc.ca/recgen/cpc-pac/2023/vol1/s3/rvnu-fra.html#t3.4,"Revenues, expenses and accumulated deficit, as per the Public Accounts of Canada",https://open.canada.ca/data/en/dataset/2599fe61-0e6e-40b9-958a-f56dd7f1fa09,"Revenus, charges et déficit accumulé, selon les Comptes publics du Canada",https://ouvert.canada.ca/data/fr/dataset/2599fe61-0e6e-40b9-958a-f56dd7f1fa09,"2022-2023 data file",https://donnees-data.tpsgc-pwgsc.gc.ca/ba1/revenuesdeficit/revenuesdeficit-2023-eng.csv,"2022-2023 fichier de données",https://donnees-data.tpsgc-pwgsc.gc.ca/ba1/revenuesdeficit/revenuesdeficit-2023-fra.csv
